adstrd_nm,adstrd_cd,raw_dn_nm,raw_dn_cd,tot_popltn_co,tot_hshld_co,hshld_pprty_popltn_co,avrg_income_amount_am
서울특별시 종로구 청운효자동,1111051500,세종로,1111011900,12842,5364,2.39,7271.00
서울특별시 종로구 청운효자동,1111051500,옥인동,1111011100,12842,5364,2.39,4639.23
서울특별시 종로구 청운효자동,1111051500,누하동,1111011000,12842,5364,2.39,4162.85
서울특별시 종로구 청운효자동,1111051500,누상동,1111010900,12842,5364,2.39,3634.44
서울특별시 종로구 청운효자동,1111051500,통인동,1111010800,12842,5364,2.39,4515.56
서울특별시 종로구 청운효자동,1111051500,창성동,1111010500,12842,5364,2.39,5177.97
서울특별시 종로구 청운효자동,1111051500,효자동,1111010400,12842,5364,2.39,5751.92
서울특별시 종로구 청운효자동,1111051500,궁정동,1111010300,12842,5364,2.39,7008.50
서울특별시 종로구 청운효자동,1111051500,신교동,1111010200,12842,5364,2.39,3833.29
서울특별시 종로구 청운효자동,1111051500,청운동,1111010100,12842,5364,2.39,7306.48
서울특별시 종로구 사직동,1111053000,신문로2가,1111012100,9415,4557,2.07,6043.84
서울특별시 종로구 사직동,1111053000,신문로1가,1111012000,9415,4557,2.07,3264.94
서울특별시 종로구 사직동,1111053000,세종로,1111011900,9415,4557,2.07,7271.00
서울특별시 종로구 사직동,1111053000,내수동,1111011800,9415,4557,2.07,4636.36
서울특별시 종로구 사직동,1111053000,당주동,1111011700,9415,4557,2.07,5113.49
서울특별시 종로구 사직동,1111053000,도렴동,1111011600,9415,4557,2.07,6698.00
서울특별시 종로구 사직동,1111053000,사직동,1111011500,9415,4557,2.07,5821.72
서울특별시 종로구 사직동,1111053000,내자동,1111011400,9415,4557,2.07,4491.04
서울특별시 종로구 사직동,1111053000,필운동,1111011300,9415,4557,2.07,4810.02
서울특별시 종로구 사직동,1111053000,체부동,1111011200,9415,4557,2.07,4582.60
서울특별시 종로구 사직동,1111053000,적선동,1111010700,9415,4557,2.07,5616.30
서울특별시 종로구 사직동,1111053000,통의동,1111010600,9415,4557,2.07,5257.89
서울특별시 종로구 삼청동,1111054000,송현동,1111014500,2771,1397,1.98,5158.67
서울특별시 종로구 삼청동,1111054000,사간동,1111014400,2771,1397,1.98,5733.62
서울특별시 종로구 삼청동,1111054000,화동,1111014300,2771,1397,1.98,5800.46
서울특별시 종로구 삼청동,1111054000,소격동,1111014200,2771,1397,1.98,6264.60
서울특별시 종로구 삼청동,1111054000,안국동,1111014100,2771,1397,1.98,5835.18
서울특별시 종로구 삼청동,1111054000,삼청동,1111014000,2771,1397,1.98,6469.61
서울특별시 종로구 삼청동,1111054000,팔판동,1111013900,2771,1397,1.98,6002.89
서울특별시 종로구 부암동,1111055000,신영동,1111018600,10017,4268,2.35,4195.76
서울특별시 종로구 부암동,1111055000,홍지동,1111018500,10017,4268,2.35,4112.55
서울특별시 종로구 부암동,1111055000,부암동,1111018400,10017,4268,2.35,5070.28
서울특별시 종로구 평창동,1111056000,평창동,1111018300,18677,7518,2.48,7202.36
서울특별시 종로구 평창동,1111056000,구기동,1111018200,18677,7518,2.48,6458.05
서울특별시 종로구 무악동,1111057000,무악동,1111018700,8697,3177,2.74,5895.96
