구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
합계,합계,"47,337","38,178","24,013","20,794","15,296","18,080","7,675","10,116","19,118","6,208","6,432","8,421","5,287","3,563","3,252","3,489","4,805","2,482","4,454","1,805"
종로구,소계,"2,335",685,549,690,641,261,334,442,"1,216",113,123,283,141,35,65,62,204,97,172,46
종로구,사직동,330,12,57,37,88,28,26,40,153,11,13,27,14,4,4,2,29,9,19,1
종로구,삼청동,56,6,9,56,3,-,9,18,80,1,-,6,1,-,-,-,4,-,8,-
종로구,부암동,32,13,17,9,7,8,6,9,32,9,-,10,2,7,-,-,3,1,5,1
종로구,평창동,47,20,33,14,26,19,12,12,22,8,2,9,3,4,2,6,4,3,7,2
종로구,무악동,11,411,12,1,-,9,4,4,7,4,1,3,5,2,2,2,1,-,3,1
종로구,교남동,24,11,26,10,2,11,7,6,13,7,1,9,4,1,2,1,4,-,5,1
종로구,가회동,72,9,16,26,10,8,9,17,60,3,4,8,4,1,3,3,2,2,12,-
종로구,종로1.2.3.4가동,891,8,111,243,283,37,107,135,416,17,44,89,36,7,21,6,68,36,47,12
종로구,종로5·6가동,271,14,71,101,44,17,42,56,89,6,13,25,14,2,5,8,11,14,7,1
종로구,이화동,97,18,13,20,29,8,14,24,86,3,3,19,5,2,-,2,14,3,17,2
종로구,창신1동,93,17,27,59,17,10,21,19,21,4,8,6,13,-,3,6,15,7,5,6
종로구,창신2동,61,26,13,11,16,19,15,9,11,6,5,3,2,-,4,5,4,3,3,2
종로구,창신3동,11,26,15,2,1,9,4,3,7,4,-,3,3,1,3,2,2,-,1,-
종로구,숭인1동,16,21,12,5,3,13,7,3,5,5,-,6,3,1,1,-,2,1,1,1
종로구,숭인2동,92,26,38,36,26,17,18,21,27,5,15,21,10,-,4,5,9,8,5,4
종로구,청운효자동,65,20,29,30,13,16,17,23,69,5,1,10,2,1,9,9,6,1,15,1
종로구,혜화동,166,27,50,30,73,32,16,43,118,15,13,29,20,2,2,5,26,9,12,11
중구,소계,"2,342",380,576,"2,660",483,339,461,427,"1,023",92,134,354,138,32,83,75,225,100,173,28
중구,소공동,270,5,22,374,30,18,24,31,161,2,5,44,11,-,1,1,30,7,31,1
중구,회현동,224,13,18,812,24,23,77,51,111,9,8,38,11,2,8,4,28,6,26,1
중구,명동,434,3,80,203,69,54,67,84,267,5,10,68,17,-,3,1,63,12,32,2
중구,필동,159,7,28,5,55,13,17,28,84,5,14,26,8,2,1,2,15,7,6,5
중구,장충동,63,5,11,10,8,6,5,6,25,4,3,14,6,-,1,1,5,3,8,1
중구,광희동,279,21,60,987,53,16,65,51,100,5,12,42,13,5,19,9,21,12,17,1
중구,을지로동,243,7,58,75,87,9,49,28,102,4,10,29,8,1,3,1,22,17,11,-
중구,신당5동,107,37,30,28,39,24,12,12,12,6,12,7,11,3,3,4,4,3,3,6
중구,황학동,146,30,38,36,18,25,28,28,16,5,8,13,7,3,20,20,4,5,2,-
중구,중림동,92,29,26,2,22,22,15,15,36,6,7,11,9,2,5,7,6,5,6,1
중구,신당동,111,20,92,55,23,25,62,46,46,7,18,22,11,4,4,2,17,6,8,1
중구,다산동,87,66,23,19,24,22,15,19,26,10,15,14,7,6,4,5,5,6,6,1
중구,약수동,53,45,35,20,14,34,9,14,10,12,6,12,8,3,3,8,-,2,9,3
중구,청구동,29,54,25,18,10,20,7,5,13,6,3,6,6,-,4,3,2,3,4,2
중구,동화동,45,38,30,16,7,28,9,9,14,6,3,8,5,1,4,7,3,6,4,3
용산구,소계,"1,333",560,791,696,547,366,264,300,735,138,88,246,114,91,63,76,139,41,151,23
용산구,후암동,62,63,44,19,11,22,16,15,40,9,2,14,9,4,7,8,7,2,7,2
용산구,용산2가동,29,32,23,9,33,18,11,10,48,7,1,12,7,1,5,5,2,1,10,1
용산구,남영동,177,9,21,78,47,19,21,37,60,4,12,35,11,6,1,1,20,11,20,7
용산구,원효로2동,51,60,32,12,11,19,15,8,13,6,5,11,5,13,2,4,9,2,2,-
용산구,효창동,16,36,18,4,2,7,10,5,17,5,-,8,1,2,-,-,1,1,2,-
용산구,용문동,50,45,25,16,19,28,8,11,13,6,6,3,13,2,10,12,-,1,3,1
용산구,이촌1동,54,9,58,58,17,29,16,19,19,8,2,11,6,1,8,13,10,1,11,2
용산구,이촌2동,11,48,30,4,1,8,6,4,7,5,-,3,3,8,4,2,1,-,2,-
용산구,이태원1동,98,10,34,207,146,12,12,14,54,6,7,17,8,3,-,1,13,2,9,-
용산구,이태원2동,38,21,35,23,52,14,10,9,52,7,3,13,2,-,4,3,4,-,12,-
용산구,서빙고동,19,24,21,14,1,11,13,7,10,2,-,6,1,4,1,1,3,-,3,-
용산구,보광동,73,46,65,24,20,40,25,16,19,13,5,9,15,6,4,4,4,4,5,2
용산구,청파동,107,71,59,18,40,47,26,59,71,20,9,23,10,11,6,10,10,3,14,5
용산구,원효로1동,124,34,63,14,39,18,11,24,49,13,8,18,6,8,4,2,12,2,10,1
용산구,한강로동,284,17,166,109,45,39,37,38,161,19,17,42,9,13,3,4,26,9,18,-
용산구,한남동,140,35,97,87,63,35,27,24,102,8,11,21,8,9,4,6,17,2,23,2
성동구,소계,"1,557","1,280",801,392,344,489,235,277,602,187,154,255,148,201,61,126,117,78,119,49
성동구,왕십리2동,40,67,40,13,8,25,11,6,14,10,3,11,11,-,6,3,4,2,3,3
