구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
합계,합계,"823,624","5,226,997",6.35,"1,361","8,636","16,541",52.21
종로구,소계,"39,679","260,446",6.56,"1,660","10,893","6,770",160.9
종로구,사직동,"3,574","47,522",13.3,"2,906","38,636","7,980",484.18
종로구,삼청동,732,"4,601",6.29,491,"3,088","2,011",153.52
종로구,부암동,599,"3,454",5.77,264,"1,522","4,648",32.74
종로구,평창동,761,"3,447",4.53,86,389,"2,121",18.32
종로구,무악동,647,"1,644",2.54,"1,797","4,567","24,278",18.81
종로구,교남동,413,"4,581",11.09,"1,180","13,089","30,594",42.78
종로구,가회동,765,"12,817",16.75,"1,417","23,735","8,311",285.58
종로구,종로1.2.3.4가동,"15,472","108,747",7.03,"6,584","46,275","3,594","1,287.56"
종로구,종로5·6가동,"7,238","24,537",3.39,"12,063","40,895","9,732",420.23
종로구,이화동,"1,191","17,244",14.48,"1,527","22,108","10,859",203.59
종로구,창신1동,"2,179","5,907",2.71,"7,029","19,055","19,610",97.17
종로구,창신2동,864,"2,216",2.56,"3,323","8,523","37,688",22.61
종로구,창신3동,281,895,3.19,"1,222","3,891","31,613",12.31
종로구,숭인1동,493,"1,545",3.13,"2,143","6,717","28,400",23.65
종로구,숭인2동,"1,747","6,886",3.94,"4,991","19,674","28,291",69.54
종로구,청운효자동,"1,028","5,656",5.5,400,"2,201","5,051",43.57
종로구,혜화동,"1,695","8,747",5.16,"1,513","7,810","18,246",42.8
중구,소계,"60,127","392,568",6.53,"6,037","39,414","13,704",287.62
중구,소공동,"3,849","64,144",16.67,"4,052","67,520","3,220","2,096.89"
중구,회현동,"8,566","45,216",5.28,"10,198","53,829","6,964",772.92
중구,명동,"6,965","110,390",15.85,"7,035","111,505","3,603","3,094.76"
중구,필동,"2,886","22,404",7.76,"2,532","19,653","4,404",446.29
중구,장충동,819,"9,181",11.21,602,"6,751","4,138",163.13
중구,광희동,"8,472","36,451",4.3,"11,449","49,258","8,492",580.06
중구,을지로동,"8,812","35,333",4.01,"14,687","58,888","3,345","1,760.49"
중구,신당5동,"1,193","4,057",3.4,"3,059","10,403","28,023",37.12
중구,황학동,"1,947","5,643",2.9,"5,900","17,100","41,482",41.22
중구,중림동,"1,016","7,530",7.41,"2,117","15,688","26,963",58.18
중구,신당동,"11,459","29,891",2.61,"20,835","54,347","16,789",323.71
중구,다산동,"1,424","9,742",6.84,"2,792","19,102","29,480",64.8
중구,약수동,833,"4,122",4.95,"1,735","8,588","36,946",23.24
중구,청구동,881,"4,419",5.02,"2,591","12,997","42,691",30.44
중구,동화동,"1,005","4,045",4.02,"3,865","15,558","42,288",36.79
용산구,소계,"20,254","135,240",6.68,926,"6,184","11,211",55.16
용산구,후암동,928,"3,658",3.94,"1,079","4,253","21,448",19.83
용산구,용산2가동,601,"2,070",3.44,307,"1,056","6,039",17.49
용산구,남영동,"1,619","20,322",12.55,"1,361","17,077","7,069",241.58
용산구,원효로2동,958,"6,846",7.15,"1,349","9,642","20,730",46.51
용산구,효창동,418,"2,182",5.22,950,"4,959","23,409",21.18
용산구,용문동,630,"1,789",2.84,"2,250","6,389","44,954",14.21
용산구,이촌1동,812,"3,613",4.45,284,"1,263","10,229",12.35
용산구,이촌2동,347,832,2.4,284,682,"7,381",9.24
용산구,이태원1동,"1,538","7,006",4.56,"2,698","12,291","16,179",75.97
용산구,이태원2동,720,"2,208",3.07,837,"2,567","12,571",20.42
용산구,서빙고동,414,"4,683",11.31,148,"1,673","5,036",33.21
용산구,보광동,840,"2,076",2.47,"1,183","2,924","22,341",13.09
용산구,청파동,"1,685","8,542",5.07,"1,852","9,387","22,704",41.34
용산구,원효로1동,"1,758","10,067",5.73,"2,980","17,063","28,186",60.54
용산구,한강로동,"4,899","41,427",8.46,"1,689","14,285","6,771",210.99
용산구,한남동,"2,087","17,919",8.59,693,"5,953","7,875",75.59
성동구,소계,"28,343","178,243",6.29,"1,681","10,572","18,326",57.69
성동구,왕십리2동,824,"2,757",3.35,"2,010","6,724","43,278",15.54
성동구,마장동,"3,207","12,056",3.76,"3,054","11,482","22,890",50.16
성동구,사근동,"1,072","10,842",10.11,975,"9,856","12,312",80.06
성동구,행당1동,"1,388","8,651",6.23,"2,353","14,663","27,903",52.55
성동구,행당2동,627,"2,050",3.27,"1,493","4,881","58,667",8.32
성동구,응봉동,369,"1,028",2.79,647,"1,804","28,400",6.35
성동구,금호1가동,567,"2,100",3.7,"1,233","4,565","34,683",13.16
성동구,금호4가동,657,"2,026",3.08,782,"2,412","18,127",13.31
