구,행정동,총사업체수,총종사자수,총여성종사자,자영업주_및_무급가족_소계,자영업주_및_무급가족_여성종사자,상용근로자_소계,상용근로자_여성종사자,임시_및_일용근로자_소계,임시_및_일용근로자_여성종사자,기타종사자_소계,기타종사자_여성종사자
합계,합계,"823,624","5,226,997","2,341,383","736,898","310,687","3,614,190","1,601,768","684,560","315,797","191,349","113,131"
종로구,소계,"39,679","260,446","114,054","37,246","15,516","191,346","80,927","24,307","13,147","7,547","4,464"
종로구,사직동,"3,574","47,522","22,368","2,135","1,076","42,049","19,436","2,966","1,715",372,141
종로구,삼청동,732,"4,601","2,330",557,301,"3,474","1,673",450,305,120,51
종로구,부암동,599,"3,454","1,690",520,254,"2,570","1,229",223,128,141,79
종로구,평창동,761,"3,447","1,929",647,321,"2,199","1,261",469,289,132,58
종로구,무악동,647,"1,644",772,626,103,830,545,118,82,70,42
종로구,교남동,413,"4,581","3,100",351,176,"3,083","2,092","1,028",759,119,73
종로구,가회동,765,"12,817","3,271",652,356,"11,533","2,506",303,206,329,203
종로구,종로1.2.3.4가동,"15,472","108,747","43,034","14,292","5,690","81,026","30,972","10,526","4,741","2,903","1,631"
종로구,종로5·6가동,"7,238","24,537","9,712","7,597","3,040","14,064","5,233","1,969","1,125",907,314
종로구,이화동,"1,191","17,244","9,536",976,422,"14,075","7,749","1,861","1,188",332,177
종로구,창신1동,"2,179","5,907","2,929","2,518","1,004","2,197","1,166",693,375,499,384
종로구,창신2동,864,"2,216","1,165","1,129",502,632,356,421,280,34,27
종로구,창신3동,281,895,453,303,117,435,225,77,46,80,65
종로구,숭인1동,493,"1,545",858,524,204,632,377,160,99,229,178
종로구,숭인2동,"1,747","6,886","3,796","1,886",737,"2,994","1,658","1,062",584,944,817
종로구,청운효자동,"1,028","5,656","2,706",912,490,"4,091","1,783",614,413,39,20
종로구,혜화동,"1,695","8,747","4,405","1,621",723,"5,462","2,666","1,367",812,297,204
중구,소계,"60,127","392,568","179,084","61,788","29,336","285,590","122,021","35,117","20,739","10,073","6,988"
중구,소공동,"3,849","64,144","27,464","2,242","1,033","55,740","22,407","3,206","1,917","2,956","2,107"
중구,회현동,"8,566","45,216","21,794","9,220","5,443","32,404","13,937","2,586","1,569","1,006",845
중구,명동,"6,965","110,390","50,752","4,233","1,820","98,642","43,820","5,542","3,688","1,973","1,424"
중구,필동,"2,886","22,404","9,793","2,477",934,"15,724","6,097","3,722","2,407",481,355
중구,장충동,819,"9,181","3,927",624,283,"7,330","3,123","1,190",490,37,31
중구,광희동,"8,472","36,451","16,303","9,379","4,152","21,317","8,692","4,897","2,961",858,498
중구,을지로동,"8,812","35,333","12,521","9,906","3,260","21,656","7,649","3,021","1,173",750,439
중구,신당5동,"1,193","4,057","2,083","1,447",690,"1,640",869,691,375,279,149
중구,황학동,"1,947","5,643","2,433","2,354",975,"2,702","1,125",455,253,132,80
중구,중림동,"1,016","7,530","3,952",927,399,"5,249","2,623",731,516,623,414
