구,행정동,사업체수,사업체수,종사자수,종사자수,종사자수,A. 농업 임업 및 어업,A. 농업 임업 및 어업,B. 광업,B. 광업,C. 제조업,C. 제조업,D. 전기 가스 증기 및 공기조절 공급업,D. 전기 가스 증기 및 공기조절 공급업,E. 수도 하수 및 폐기물 처리 원료 재생업,E. 수도 하수 및 폐기물 처리 원료 재생업,F. 건설업,F. 건설업,G. 도매 및 소매업,G. 도매 및 소매업,H. 운수 및 창고업,H. 운수 및 창고업,I. 숙박 및 음식점업,I. 숙박 및 음식점업,J. 정보통신업,J. 정보통신업,K. 금융 및 보험업,K. 금융 및 보험업,L. 부동산업,L. 부동산업,M. 전문 과학 및 기술 서비스업,M. 전문 과학 및 기술 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,O. 공공행정 국방 및 사회보장 행정,O. 공공행정 국방 및 사회보장 행정,P. 교육 서비스업,P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,Q. 보건업 및 사회복지 서비스업,R. 예술 스포츠 및 여가관련 서비스업,R. 예술 스포츠 및 여가관련 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업
구,행정동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
합계,합계,"823,624","281,318","5,226,997","2,885,614","2,341,383",24,426,20,43,"57,321","265,273",225,"6,234",475,"9,158","21,626","362,785","220,055","899,642","94,759","264,181","132,475","493,912","23,356","360,062","11,444","266,110","43,611","166,094","42,782","485,150","16,354","472,573","1,296","141,582","35,761","351,320","29,168","400,143","23,527","92,752","69,345","189,557"
종로구,소계,"39,679","13,356","260,446","146,392","114,054",3,18,5,10,"4,462","13,180",16,489,7,131,342,"24,112","16,128","42,172","1,436","7,606","6,709","26,606",785,"16,278",587,"23,389","1,405","6,341","1,572","22,550","1,211","17,932",94,"15,109",829,"13,474",750,"17,366",899,"6,034","2,439","7,649"
종로구,사직동,"3,574","1,203","47,522","25,154","22,368",1,12,1,2,104,359,3,11,2,34,39,688,541,"2,726",229,"2,513",886,"4,124",154,"2,133",146,"7,794",168,"1,091",366,"8,098",378,"7,408",23,"6,088",83,786,106,"1,096",91,"1,653",253,906
종로구,삼청동,732,327,"4,601","2,271","2,330",-,-,-,-,18,40,-,-,-,-,7,57,267,910,21,93,222,874,17,76,11,63,21,35,50,348,26,108,4,"1,291",17,297,7,30,19,185,25,194
종로구,부암동,599,255,"3,454","1,764","1,690",-,-,1,1,31,158,-,-,-,-,23,76,108,550,37,39,128,394,30,126,3,29,28,91,31,110,19,73,3,60,38,"1,190",19,183,18,49,82,325
종로구,평창동,761,328,"3,447","1,518","1,929",-,-,1,4,23,142,-,-,-,-,19,87,158,638,38,120,139,551,24,88,9,55,66,168,35,107,15,41,3,90,48,425,38,480,33,185,112,266
종로구,무악동,647,102,"1,644",872,772,-,-,-,-,4,6,-,-,-,-,9,53,53,121,424,442,34,105,3,13,2,17,19,94,5,5,3,12,1,12,28,177,10,486,5,11,47,90
종로구,교남동,413,178,"4,581","1,481","3,100",-,-,-,-,8,20,-,-,-,-,11,36,90,287,27,52,80,284,13,72,7,37,40,111,15,96,9,20,2,37,19,176,25,"3,139",11,44,56,170
종로구,가회동,765,351,"12,817","9,546","3,271",-,-,-,-,34,281,-,-,-,-,12,"6,585",172,481,22,56,242,877,18,"1,053",11,105,25,69,60,"1,386",19,232,3,495,35,691,15,93,40,190,57,223
