구,행정동,코드_1,코드_2
종로구,사직동,11110530,1111053000
종로구,삼청동,11110540,1111054000
종로구,부암동,11110550,1111055000
종로구,평창동,11110560,1111056000
종로구,무악동,11110570,1111057000
종로구,교남동,11110580,1111058000
종로구,가회동,11110600,1111060000
종로구,종로1.2.3.4가동,11110615,1111061500
종로구,종로5·6가동,11110630,1111063000
종로구,이화동,11110640,1111064000
종로구,창신1동,11110670,1111067000
종로구,창신2동,11110680,1111068000
종로구,창신3동,11110690,1111069000
종로구,숭인1동,11110700,1111070000
종로구,숭인2동,11110710,1111071000
종로구,청운효자동,11110515,1111051500
종로구,혜화동,11110650,1111065000
중구,소공동,11140520,1114052000
중구,회현동,11140540,1114054000
중구,명동,11140550,1114055000
중구,필동,11140570,1114057000
중구,장충동,11140580,1114058000
중구,광희동,11140590,1114059000
중구,을지로동,11140605,1114060500
중구,신당5동,11140650,1114065000
중구,황학동,11140670,1114067000
중구,중림동,11140680,1114068000
중구,신당동,11140615,1114061500
중구,다산동,11140625,1114062500
중구,약수동,11140635,1114063500
중구,청구동,11140645,1114064500
중구,동화동,11140665,1114066500
용산구,후암동,11170510,1117051000
용산구,용산2가동,11170520,1117052000
용산구,남영동,11170530,1117053000
용산구,원효로2동,11170570,1117057000
용산구,효창동,11170580,1117058000
용산구,용문동,11170600,1117060000
용산구,이촌1동,11170630,1117063000
용산구,이촌2동,11170640,1117064000
용산구,이태원1동,11170650,1117065000
용산구,이태원2동,11170660,1117066000
용산구,서빙고동,11170690,1117069000
용산구,보광동,11170700,1117070000
용산구,청파동,11170555,1117055500
용산구,원효로1동,11170560,1117056000
용산구,한강로동,11170625,1117062500
용산구,한남동,11170685,1117068500
성동구,왕십리2동,11200520,1120052000
성동구,마장동,11200540,1120054000
성동구,사근동,11200550,1120055000
성동구,행당1동,11200560,1120056000
성동구,행당2동,11200570,1120057000
성동구,응봉동,11200580,1120058000
성동구,금호1가동,11200590,1120059000
성동구,금호4가동,11200620,1120062000
성동구,성수1가1동,11200650,1120065000
성동구,성수1가2동,11200660,1120066000
성동구,성수2가1동,11200670,1120067000
성동구,성수2가3동,11200690,1120069000
성동구,송정동,11200720,1120072000
성동구,용답동,11200790,1120079000
성동구,왕십리도선동,11200535,1120053500
성동구,금호2.3가동,11200615,1120061500
성동구,옥수동,11200645,1120064500
광진구,화양동,11215710,1121571000
광진구,군자동,11215730,1121573000
광진구,중곡1동,11215740,1121574000
광진구,중곡2동,11215750,1121575000
광진구,중곡3동,11215760,1121576000
광진구,중곡4동,11215770,1121577000
광진구,능동,11215780,1121578000
광진구,구의1동,11215850,1121585000
광진구,구의2동,11215860,1121586000
광진구,구의3동,11215870,1121587000
광진구,광장동,11215810,1121581000
광진구,자양1동,11215820,1121582000
광진구,자양2동,11215830,1121583000
광진구,자양3동,11215840,1121584000
광진구,자양4동,11215847,1121584700
동대문구,회기동,11230710,1123071000
동대문구,휘경1동,11230720,1123072000
동대문구,휘경2동,11230730,1123073000
동대문구,청량리동,11230705,1123070500
동대문구,용신동,11230536,1123053600
동대문구,제기동,11230545,1123054500
동대문구,전농1동,11230560,1123056000
동대문구,전농2동,11230570,1123057000
동대문구,답십리1동,11230610,1123061000
