기준_년_코드,기준_분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,보정영업지수1,보정영업지수2,보정영업지수3,보정영업지수4
2019,4,11740700,둔촌2동,HL,상권축소,111,49,110,54,-1.368172991,-0.311982889,-0.071141094,-0.01622222
2019,4,11740690,둔촌1동,HH,정체,153,70,110,54,-2.704646969,-0.270930194,-0.027139649,-0.002718636
2019,4,11740685,길동,LL,다이나믹,103,47,110,54,0,0,0,0
2019,4,11740660,성내3동,LL,다이나믹,110,47,110,54,-0.750868672,-0.080543395,-0.008639645,-0.000926748
2019,4,11740650,성내2동,LL,다이나믹,104,48,110,54,0,0,0,0
2019,4,11740640,성내1동,LL,다이나믹,107,51,110,54,0,0,0,0
2019,4,11740620,천호3동,LL,다이나믹,108,49,110,54,-0.321800859,-0.034518598,-0.003702705,-0.000397178
2019,4,11740610,천호2동,LL,다이나믹,106,52,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11740600,천호1동,LL,다이나믹,103,49,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11740590,암사3동,LH,상권확장,96,55,110,54,2.563535831,0.438114397,0.074874797,0.012796282
2019,4,11740580,암사2동,LL,다이나믹,104,50,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11740570,암사1동,LL,다이나믹,100,49,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11740560,고덕2동,HH,정체,112,60,110,54,0.40068844,0.040137806,0.004020689,0.000402761
2019,4,11740550,고덕1동,LL,다이나믹,88,52,110,54,2.145339063,0.230123985,0.024684699,0.002647852
2019,4,11740540,명일2동,LH,상권확장,109,54,110,54,0.170902389,0.029207626,0.004991653,0.000853085
2019,4,11740530,명일1동,LL,다이나믹,108,50,110,54,-0.214533906,-0.023012398,-0.00246847,-0.000264785
2019,4,11740520,상일동,HH,정체,116,57,110,54,-0.30051633,-0.030103355,-0.003015517,-0.000302071
2019,4,11740515,강일동,LL,다이나믹,72,43,110,54,2.896207735,0.310667379,0.033324343,0.003574601
2019,4,11710720,잠실7동,HH,정체,145,70,110,54,-1.90327009,-0.190654581,-0.019098272,-0.001913114
2019,4,11710710,잠실6동,LH,상권확장,105,55,110,54,1.025414332,0.175245759,0.029949919,0.005118513
2019,4,11710690,잠실4동,LL,다이나믹,99,48,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11710680,잠실3동,HH,정체,124,63,110,54,-0.50086055,-0.050172258,-0.005025861,-0.000503451
2019,4,11710670,잠실2동,LL,다이나믹,83,40,110,54,1.394470391,0.14958059,0.016045054,0.001721104
2019,4,11710650,잠실본동,HL,상권축소,119,49,110,54,-3.192403645,-0.727960074,-0.165995885,-0.037851848
2019,4,11710647,위례동,LL,다이나믹,31,27,110,54,5.577881564,0.59832236,0.064180217,0.006884416
2019,4,11710646,장지동,LL,다이나믹,99,49,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11710642,문정2동,LL,다이나믹,66,40,110,54,3.218008595,0.345185977,0.037027048,0.003971779
2019,4,11710641,문정1동,LL,다이나믹,105,51,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11710632,가락2동,HL,상권축소,110,50,110,54,-0.912115327,-0.207988592,-0.047427396,-0.010814814
2019,4,11710631,가락1동,HH,정체,169,148,110,54,3.506023849,0.351205807,0.035181027,0.003524158
2019,4,11710620,가락본동,LL,다이나믹,106,48,110,54,-0.214533906,-0.023012398,-0.00246847,-0.000264785
2019,4,11710610,삼전동,HL,상권축소,114,48,110,54,-2.280288318,-0.519971481,-0.118568489,-0.027037034
2019,4,11710600,석촌동,LL,다이나믹,110,49,110,54,-0.536334766,-0.057530996,-0.006171175,-0.000661963
2019,4,11710590,송파2동,LL,다이나믹,103,49,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11710580,송파1동,LL,다이나믹,103,48,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11710570,오금동,LL,다이나믹,109,53,110,54,0,0,0,0
2019,4,11710566,오륜동,HH,정체,134,64,110,54,-1.40240954,-0.140482323,-0.014072411,-0.001409663
2019,4,11710562,방이2동,LL,다이나믹,106,50,110,54,0,0,0,0
2019,4,11710561,방이1동,LL,다이나믹,100,49,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11710550,마천2동,HH,정체,119,54,110,54,-0.90154899,-0.090310065,-0.00904655,-0.000906212
2019,4,11710540,마천1동,HL,상권축소,116,52,110,54,-1.824230654,-0.415977185,-0.094854792,-0.021629627
2019,4,11710532,거여2동,HH,정체,115,57,110,54,-0.20034422,-0.020068903,-0.002010344,-0.00020138
2019,4,11710531,거여1동,LL,다이나믹,101,50,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11710520,풍납2동,HH,정체,123,55,110,54,-1.20206532,-0.120413419,-0.012062066,-0.001208283
2019,4,11710510,풍납1동,HH,정체,129,55,110,54,-1.80309798,-0.180620129,-0.018093099,-0.001812424
2019,4,11680750,수서동,HH,정체,119,58,110,54,-0.50086055,-0.050172258,-0.005025861,-0.000503451
2019,4,11680740,일원2동,HH,정체,118,55,110,54,-0.70120477,-0.070241161,-0.007036205,-0.000704832
2019,4,11680730,일원1동,HL,상권축소,115,54,110,54,-1.140144159,-0.259985741,-0.059284245,-0.013518517
2019,4,11680720,일원본동,LL,다이나믹,106,51,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11680700,세곡동,LL,다이나믹,65,48,110,54,4.183411173,0.44874177,0.048135162,0.005163312
2019,4,11680690,개포4동,HL,상권축소,126,53,110,54,-3.87649014,-0.883951518,-0.201566432,-0.045962958
2019,4,11680670,개포2동,HH,정체,119,56,110,54,-0.70120477,-0.070241161,-0.007036205,-0.000704832
2019,4,11680660,개포1동,HH,정체,125,67,110,54,-0.20034422,-0.020068903,-0.002010344,-0.00020138
2019,4,11680656,도곡2동,HL,상권축소,119,53,110,54,-2.280288318,-0.519971481,-0.118568489,-0.027037034
