firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
1,12720985,7.44,148,0.013513514,4,42,1,280,1,2,0,0,0.034246575
2,11488537,6.59,383,0.070496084,5,47,4,0,0,3,0,0.129213483,0.016853933
3,234327000,4.33,1225,0,5,64,3,18,1,4,0,0.013061224,0
4,8592705,4.34,1128,0.020390071,6,11,2,500,1,4,0,0.114932127,0.009954751
5,18133395,2.84,968,0.070247934,4,40,5,115,1,3,1,0.011111111,0.011111111
6,-143196,-0.17,135,0.007407407,3,10,3,15,0,1,0,0.082089552,0.007462687
7,3534043,2.01,122,0,3,16,4,100,0,2,0,0.090163934,0.090163934
8,-2436533,-0.9,606,0.04290429,2,52,4,0,1,2,0,0.034482759,0.034482759
9,188853805,2.46,825,0.019393939,4,5,5,15,1,2,0,0.014833127,0.001236094
10,8763597,4.47,614,0.286644951,5,76,3,90,0,1,0,0.054794521,0.002283105
11,50638666,17.09,169,0.035502959,3,28,3,200,1,2,1,0.006134969,0
12,7938567,6.35,209,0.023923445,3,40,3,50,0,2,1,0,0
13,-823809,-0.26,777,0,3,24,4,50,1,4,0,0.038610039,0.015444015
14,2487416,3.4,650,0.032307692,3,12,0,500,0,3,0,0.138314785,0.015898251
15,4730459,4.2,198,0.015151515,2,38,2,10,0,1,0,0.087179487,0.041025641
16,16662180,4.87,517,0.005802708,3,33,3,107,1,2,0,0.001945525,0.007782101
17,804672,0.6,346,0.069364162,4,16,0,100,1,2,0,0.046583851,0
18,98760254,3.65,1164,0.014604811,3,20,4,130,1,2,0,0.091543156,0.001743679
19,6948052,4.7,172,0.11627907,4,8,0,0,1,2,1,0.019736842,0
20,10365662,9.73,222,0.067567568,4,16,2,95,1,2,0,0.004830918,0.024154589
21,3162156,4.7,197,0,4,21,4,20,0,1,0,0.060913706,0.005076142
22,-14585901,-5.25,342,0.184210526,3,16,3,15,1,2,0,0.075268817,0.014336918
23,5173242,4.45,286,0.052447552,3,11,5,0,0,2,0,0.05904059,0.018450185
24,819993,1.64,208,0,2,80,4,0,0,1,1,0.033653846,0.014423077
25,635377,0.26,492,0,3,18,3,20,0,2,0,0.036585366,0.077235772
26,77881754,38.68,492,0.034552846,6,29,4,80,0,1,1,0.012631579,0.010526316
