NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
1,전국,신재생에너지 총발전량,사업용,"38,028,933 ","37,255,151 ","31,649,620 ","26,806,171 ","23,829,002 ",MWh
2,전국,신재생에너지 총발전량,자가용,"13,093,152 ","15,463,106 ","14,973,701 ","13,849,632 ","13,249,860 ",MWh
3,전국,태양광,사업용,"11,759,577 ","8,219,173 ","6,220,719 ","4,491,036 ","3,464,576 ",MWh
4,전국,태양광,자가용,"1,236,441 ","988,925 ","835,500 ","631,406 ","514,583 ",MWh
5,전국,풍력,사업용,"2,669,463 ","2,454,329 ","2,158,913 ","1,672,764 ","1,331,877 ",MWh
6,전국,풍력,자가용,"9,695 ","10,550 ","10,101 ","10,378 ","10,562 ",MWh
7,전국,수력,사업용,"2,788,609 ","3,371,552 ","2,816,419 ","2,855,818 ","2,142,922 ",MWh
8,전국,수력,자가용,"2,467 ","2,823 ","3,463 ","2,895 ","7,091 ",MWh
9,전국,해양,사업용,"474,321 ","485,353 ","489,466 ","495,556 ","496,354 ",MWh
10,전국,바이오가스,사업용,"168,409 ","144,461 ","142,362 ","100,320 ","92,207 ",MWh
11,전국,바이오가스,자가용,"26,838 ","30,546 ","28,236 ","38,279 ","28,935 ",MWh
12,전국,매립지가스,사업용,"239,527 ","242,172 ","255,827 ","238,584 ","246,589 ",MWh
13,전국,매립지가스,자가용,-,-,-,-,"5,723 ",MWh
14,전국,우드칩,사업용,"41,753 ","53,786 ","52,518 ","54,486 ","131,297 ",MWh
15,전국,우드칩,자가용,-,-,-,-,879 ,MWh
16,전국,목재펠릿,사업용,"4,959,229 ","4,837,318 ","3,722,931 ","2,679,313 ","2,508,862 ",MWh
17,전국,목재펠릿,자가용,-,-,-,-,"3,659 ",MWh
18,전국,폐목재,사업용,-,-,-,-,"17,993 ",MWh
19,전국,폐목재,자가용,-,-,-,-,"78,331 ",MWh
20,전국,흑액,자가용,"277,640 ","256,667 ","259,643 ","259,219 ","263,411 ",MWh
21,전국,하수슬러지고형연료,사업용,"338,143 ","405,314 ","331,095 ","284,973 ","282,542 ",MWh
22,전국,Bio-SRF,사업용,"2,068,895 ","1,782,965 ","1,431,740 ","1,127,409 ","652,961 ",MWh
23,전국,Bio-SRF,자가용,-,-,-,-,4 ,MWh
24,전국,바이오중유,사업용,"2,295,198 ","1,609,999 ","1,242,311 ","1,454,982 ","1,233,190 ",MWh
25,전국,폐가스,사업용,"6,281,275 ","9,445,991 ","9,334,436 ","9,217,232 ","9,503,822 ",MWh
