"PATIENT_ID","SEX","AGE","ETHNICITY","PRIMARY_SITE","HISTOLOGY","TMB","CANCER_TYPE","MUTATION_RATE","ic50_AKTinhibitorVIII","ic50_Avagacestat","ic50_CP724714","ic50_GenentechCpd10","ic50_GW2580","ic50_Pelitinib","ic50_Quizartinib","ic50_Ruxolitinib","ic50_WZ3105","ic50_ZSTK474"
"A101D_SKIN","Male",56,"Caucasian","Skin","Malignant_Melanoma",8.4,"Melanoma",78.14512866,139.501590133095,222.244027246188,222.178697106179,222.244027246188,417.457189953546,90.7515905760337,22.1933123944044,21.7550736152887,12.878715661729,17.2428747469926
"A172_CENTRAL_NERVOUS_SYSTEM","Male",53,"Caucasian","Central_Nervous_System","Glioma",9.06666666667,"Glioma",135.6190716,26.0552165606495,99.7660554789289,64.2820222247292,18.2121690541748,183.890229356438,10.3001040795993,12.6570959175103,47.8599960524965,0.428842311451298,35.4737504844454
"A204_SOFT_TISSUE","Female",1,"Caucasian","Soft_Tissue","Rhabdoid_Tumour",7,"Rhabdoid Cancer",92.67187107,6.91236612795641,217.362833280397,172.059268197134,7.83926437311352,400.798978053224,4.6968966340477,0.72337971576075,56.1263837193037,0.476636086809845,0.663741840190407
"A2058_SKIN","Male",43,"Caucasian","Skin","Malignant_Melanoma",18.6666666667,"Melanoma",164.676892,16.5381196809781,99.1514024900596,58.3139882351873,2.66977179841215,184.616001439584,7.55723966620679,8.93285452978338,48.9847977513158,1.42931455901981,2.28888774797118
"A253_SALIVARY_GLAND","Male",54,"Caucasian","Salivary_Gland","Carcinoma",15.5333333333,"Salivary Gland Cancer",150.1577888,22.5765329102759,129.173440328087,79.3830603679588,4.24736164179311,216.983214930921,1.89870485789238,13.6617232611003,67.8550627297146,1.61542002458042,7.32302870563824
"A2780_OVARY","Female",NA,"African_american","Ovary","Carcinoma",17.0333333333,"Ovarian Cancer",206.5489916,3.95800060486013,59.7173740098248,22.1717953188506,1.35862750136514,161.744673113338,0.387062925878855,4.86779469581953,21.5799577069103,0.103178683758226,0.403565691625172
"A375_SKIN","Female",54,"Caucasian","Skin","Malignant_Melanoma",20.7333333333,"Melanoma",150.0581377,31.7600115486071,52.1284049100019,67.9772438565367,7.04422406873811,132.651581119989,24.8000830014997,6.79772501780159,31.4871649219239,1.25057069109293,2.56500646734084
"A388_SKIN",NA,NA,NA,"Na","",9.43333333333,"Skin Cancer, Non-Melanoma",NA,9.57284074523924,197.460586025954,108.229935894626,15.3716053642814,239.557866153655,1.97507228957561,19.7345123716437,98.4654770557938,1.03472738925561,2.17462013779929
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Female",NA,"Asian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",21.1666666667,"Mature B-Cell Neoplasms",211.4255162,4.9252104269718,46.171743572844,13.4264682329793,1.6049971806884,115.945586597802,0.100678500756591,2.64255961874327,0.0516470603421201,0.369492070095533,2.25512183427843
"A427_LUNG",NA,NA,NA,"Na","",16.7666666667,"Non-Small Cell Lung Cancer",NA,12.6827651880299,103.961745526623,87.0107783446554,34.4687115172554,177.085736092355,7.14417257559033,10.3261447048542,45.7944543624681,0.700499238700569,9.96501042673614
"A431_SKIN",NA,NA,NA,"Na","",15.1333333333,"Skin Cancer, Non-Melanoma",NA,5.065262689358,107.513884783078,26.1617390022299,8.21126506581377,107.899042686952,0.186723381612705,7.31898019028169,48.5867568026189,0.405205878120039,1.37129698996734
"A498_KIDNEY","Male",52,"Caucasian","Kidney","Carcinoma",7.2,"Renal Cell Carcinoma",108.0383796,148.677421103975,412.528791122637,315.025629812547,14.9540176071831,449.73791410681,85.1908471289078,41.3719866155165,137.936991836847,30.2085803023688,8.86401657565182
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Female",52,"Asian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",13.8666666667,"Mature B-Cell Neoplasms",116.4358582,3.94825614834593,149.174535558063,122.418560909584,11.5430901207917,293.366300336519,9.44940711137115,14.403150969913,70.8041064695481,12.0710014277702,2.49103179462932
"A549_LUNG","Male",58,"Caucasian","Lung","Carcinoma",18.9666666667,"Non-Small Cell Lung Cancer",159.4917529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A673_BONE","Female",15,"Caucasian","Bone","Ewings_Sarcoma-Peripheral_Primitive_Neuroectodermal_Tumour",4.86666666667,"Bone Cancer",61.21045057,13.3252136007703,66.5105113111365,66.3926926516873,8.47252012645554,72.6541854858781,16.5647178051742,10.276276641375,49.8588493394403,0.862985836472813,1.447144059422
"A704_KIDNEY","Male",78,"African_american","Kidney","Carcinoma",12.9333333333,"Renal Cell Carcinoma",114.8901438,129.560765144346,141.036962300554,141.036962300554,3.32372785201608,105.794020413903,66.2179781939384,14.0851633682378,71.8805705917888,33.7039823163006,7.06293720719474
"ABC1_LUNG","Male",47,"Asian","Lung","Carcinoma",15,"Non-Small Cell Lung Cancer",146.9349526,36.5757334492601,229.994179021327,20.881278667409,4.85357719955917,90.9883976466702,2.22666288382942,22.948922832454,115.712422889988,0.499593755404091,1.36225852160731
"ACHN_KIDNEY","Male",22,"Caucasian","Kidney","Carcinoma",4.23333333333,"Renal Cell Carcinoma",68.18873896,25.4697124710129,188.988468505529,40.0248295385798,5.2856151076748,205.224397001746,1.60250014452517,16.9647557356815,63.8458765418977,24.2733490119898,2.54125232280415
"AGS_STOMACH","Female",54,"Caucasian","Stomach","Carcinoma",27.4333333333,"Esophagogastric Cancer",279.1727872,20.0174221127666,87.4380899930184,55.6642438973831,38.0657146862892,111.19606561161,11.2676974581025,9.81942925494889,46.8409115747796,1.18100763257348,4.04737288390548
