unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
EUR_KGOE,AL	2.83 	3.00 	2.84 	3.06 	2.95 	3.09 	3.38 	3.80 	3.92 	4.00 	4.18 	4.11 	4.63 	3.96 	4.05 	4.43 	4.41 	4.37 	4.57 	4.69 	4.88 	: 
EUR_KGOE,AT	8.69 	8.34 	8.43 	8.08 	8.19 	8.06 	8.26 	8.72 	8.78 	8.90 	8.49 	9.00 	9.09 	8.98 	9.37 	9.24 	9.30 	9.34 	9.79 	9.72 	9.78 	9.69 
EUR_KGOE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.24 	2.27 	2.14 	2.21 	2.08 	2.21 	2.18 	2.26 
EUR_KGOE,BE	4.73 	4.83 	4.95 	4.77 	4.89 	5.04 	5.17 	5.37 	5.22 	5.55 	5.32 	5.83 	6.16 	5.97 	6.43 	6.51 	6.21 	6.24 	6.34 	6.45 	6.79 	6.47 
EUR_KGOE,BG	1.31 	1.30 	1.41 	1.44 	1.58 	1.60 	1.66 	1.80 	1.94 	2.12 	2.13 	2.03 	2.13 	2.28 	2.20 	2.18 	2.29 	2.28 	2.33 	2.45 	2.48 	2.47 
EUR_KGOE,CY	5.34 	5.50 	5.79 	5.51 	6.32 	6.00 	6.06 	6.17 	6.12 	6.21 	6.61 	6.72 	6.90 	7.22 	6.99 	7.04 	6.94 	7.14 	7.34 	7.75 	8.41 	8.62 
EUR_KGOE,CZ	2.79 	2.81 	2.81 	2.79 	2.85 	3.07 	3.20 	3.39 	3.55 	3.60 	3.47 	3.68 	3.69 	3.67 	3.88 	4.08 	4.23 	4.26 	4.38 	4.59 	4.62 	4.51 
EUR_KGOE,DE	6.83 	6.75 	6.89 	6.82 	6.85 	6.93 	6.98 	7.55 	7.53 	7.59 	7.52 	8.24 	8.21 	8.07 	8.62 	8.70 	8.83 	9.03 	9.34 	9.65 	10.05 	9.93 
EUR_KGOE,DK	10.83 	10.73 	11.04 	10.49 	11.15 	11.68 	11.24 	11.55 	11.87 	11.97 	11.57 	12.55 	13.22 	13.19 	14.01 	14.38 	14.53 	14.96 	15.18 	15.73 	16.83 	16.74 
EUR_KGOE,EE	2.19 	2.21 	2.52 	2.53 	2.48 	2.68 	2.92 	2.69 	2.89 	3.09 	2.40 	2.66 	2.87 	2.63 	2.89 	3.38 	2.85 	3.04 	3.21 	4.00 	4.24 	4.47 
