geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
AL	65.33 	64.83 	69.38 	: 	69.19 	61.33 	63.16 	64.54 	70.05 	65.67 	65.88 	68.20 
AT	168.56 	180.26 	183.02 	191.27 	194.18 	196.32 	203.13 	208.18 	199.70 	196.54 	195.38 	210.30 
BA	: 	: 	: 	: 	7.61 e	9.48 e	10.20 e	10.67 e	23.72 e	21.67 e	25.44 e	27.36 e
BE	606.70 	555.00 	570.51 	611.49 	529.80 	547.57 	578.41 	602.88 	593.30 	669.90 	635.25 	635.91 
BG	36.32 	39.97 	38.79 	38.62 	38.24 	37.03 	36.86 	35.25 	36.83 	37.21 	37.27 	39.36 
CY	306.57 	330.83 	318.48 	353.67 	331.73 	308.18 	371.83 	358.37 	320.92 	344.36 	354.83 	371.18 p
CZ	154.95 	156.37 	159.81 	173.21 	174.98 	173.69 	183.62 	181.60 	176.08 	180.29 	181.01 	182.69 
DE	77.06 	79.35 	79.04 	75.25 	90.53 	86.73 	89.91 	84.97 	198.39 	214.41 	216.37 	216.48 
DK	273.08 	258.72 	251.54 	252.41 	236.32 	240.79 	239.70 	229.18 	226.23 	221.41 	216.78 	215.95 
EE	99.89 	114.35 	115.12 	113.30 	133.75 	132.64 	129.28 	134.09 	126.12 	114.38 	110.98 	89.30 
EL	147.16 	120.60 	55.40 	56.21 	47.34 	48.73 	51.47 	56.52 	49.83 	53.84 	52.64 	58.04 
ES	94.46 	100.50 	114.02 	116.99 	112.35 	102.57 	103.78 	104.83 	101.51 	106.84 	111.12 	113.89 
EU27_2020	156.56 	153.85 	153.45 	155.65 	152.02 	151.62 	154.62 	156.49 	170.52 	172.05 	175.69 	176.02 
FI	342.85 	316.26 	338.09 	335.00 	323.64 	334.99 	343.38 	339.09 	322.25 	336.68 	330.15 	326.99 
FR	140.60 	143.54 	138.42 	145.74 	143.98 	144.94 	140.47 	137.62 	140.78 	139.10 	151.47 b	146.14 
HR	164.93 	169.18 	155.78 	156.94 	171.16 	136.50 	136.12 	141.49 	146.77 	146.89 	155.15 	158.40 
HU	91.24 	90.43 	74.60 	97.54 	110.93 	107.82 	120.95 	113.67 	121.11 	126.72 	140.75 	131.89 
IE	59.07 	57.20 d	55.28 	49.95 	45.99 	45.05 	46.45 	47.45 	49.48 	50.85 	51.16 	53.56 
IS	: 	20.57 	21.01 	21.64 	26.15 	24.36 	: 	26.50 	27.51 	28.13 	26.03 	27.96 
IT	210.82 	213.31 	209.22 	209.42 	203.21 	210.37 	206.35 	207.27 	216.77 	206.79 	210.25 	216.90 
LT	39.42 	38.72 	38.18 	36.03 	35.19 	32.51 	35.32 	37.22 	36.53 	37.21 	38.64 	41.45 
LU	223.13 	190.43 	190.10 	201.46 	193.40 	190.54 	221.19 	205.01 	202.61 	185.05 	212.71 	204.73 
LV	80.43 	77.66 	77.26 	78.66 	78.00 	82.48 	86.72 	95.80 	93.24 	102.90 	104.13 	97.26 
ME	19.38 	9.41 	13.21 	32.25 	31.62 	36.25 	20.83 p	18.52 p	21.66 p	19.05 p	18.74 p	18.10 p
MK	19.00 	18.53 	20.25 	18.93 	18.04 	18.55 	17.33 	16.75 	16.73 	16.98 	15.27 	16.61 
MT	523.84 	427.42 	345.76 	251.24 	258.94 	170.57 	259.15 	397.58 	454.40 	538.95 	598.22 	634.11 
NL	2151.98 	1943.63 	2010.60 	2010.17 	1880.80 	1969.36 	2046.64 	2060.33 	2187.13 	2212.76 	2161.90 	2191.68 
NO	317.13 	298.76 	311.39 	300.50 	278.56 	292.35 	300.76 	330.45 	332.65 	325.37 	337.14 	325.42 
PL	255.44 	248.96 	252.35 	248.32 	237.16 	231.27 	245.57 	267.70 	269.54 	262.08 	262.14 	257.33 
PT	94.44 	87.28 	87.94 	88.43 	91.20 	93.63 	97.05 	100.15 	102.36 	95.79 	103.62 	109.05 
RO	27.75 	31.09 	36.25 	33.75 	30.43 	33.09 	33.53 	37.06 	42.18 	40.30 	40.67 	43.32 
RS	33.50 	33.33 	52.84 	52.19 	45.21 	43.69 	55.54 	55.41 	48.84 	43.52 	42.58 	39.45 
SE	207.65 	203.78 	197.68 	216.11 	205.99 	203.01 	209.41 	208.24 	201.14 	207.66 	196.09 	188.59 
SI	144.08 	147.33 	148.05 	146.17 	156.13 	155.53 	153.62 	151.47 	155.92 	152.65 	148.61 	153.43 
SK	70.07 	81.70 	74.44 	67.96 	71.29 	78.22 	77.52 	74.61 	69.12 	67.53 	69.00 	70.98 
TR	: 	140.97 	120.18 	: 	115.89 	97.26 	96.18 	109.36 	116.21 	120.60 	128.20 	130.48 
UK	47.44 	45.20 	47.19 	53.59 	59.35 	43.45 	70.52 	76.39 	67.04 	69.11 	: 	: 
XK	45.63 e	45.09 e	47.33 	55.83 	53.69 	67.26 	70.39 	71.03 	74.72 	86.02 	79.93 	91.56 
