na_item,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
B1GQ,CP_EUR_HAB,AL	3190 	3300 	3320 	3450 	3560 	3730 	4020 	4480 	4820 	4690 	5390 p	: 
B1GQ,CP_EUR_HAB,AT	36970 	37820 	38210 	38990 	39890 	40920 	42000 	43590 	44740 	42730 	45370 	49380 
B1GQ,CP_EUR_HAB,BE	34060 	34770 	35210 	35950 	36960 	37960 	39130 	40260 	41660 	39830 p	43350 p	46990 p
B1GQ,CP_EUR_HAB,BG	5640 	5780 	5790 	5960 	6380 	6840 	7420 	8000 	8820 	8890 	10330 	12400 p
B1GQ,CP_EUR_HAB,CH	65190 	66780 	65730 	66920 	75530 	74260 	72860 	72150 	75150 	75330 	78990 p	88570 p
B1GQ,CP_EUR_HAB,CY	23340 	22570 	20930 	20510 	21170 	22330 	23630 	24910 	26280 	24550 	26680 	29590 p
B1GQ,CP_EUR_HAB,CZ	15740 	15470 	15170 	15000 	16080 	16790 	18330 	19850 	21150 	20170 	22270 	25850 
B1GQ,CP_EUR_HAB,DE	33550 	34130 	34860 	36150 	37050 	38070 	39530 	40590 	41810 p	40930 p	43480 p	46260 p
B1GQ,CP_EUR_HAB,DK	44500 	45530 	46100 	47090 	48050 	49420 	51140 	52180 	53210 	53410 	58590 	64450 
B1GQ,CP_EUR_HAB,EA19	29180 	29230 	29480 	30120 	31080 	31840 	32970 	33980 	35010 	33430 	36030 	38780 
B1GQ,CP_EUR_HAB,EA20	28950 	29000 	29240 	29870 	30830 	31590 	32720 	33730 	34760 	33180 	35780 	38530 
B1GQ,CP_EUR_HAB,EE	12540 	13520 	14320 	15240 	15710 	16530 	18120 	19660 	21100 	20640 	23430 	27040 
B1GQ,CP_EUR_HAB,EL	18310 	17060 	16410 	16270 	16300 	16190 	16450 	16730 	17100 	15460 p	17070 p	19670 p
B1GQ,CP_EUR_HAB,ES	22760 	22050 	21910 	22230 	23230 	23990 	24980 	25760 	26440 	23640 	25800 p	28160 p
B1GQ,CP_EUR_HAB,EU27_2020	25660 	25770 	26010 	26580 	27500 	28190 	29320 	30290 	31310 	30050 	32560 	35290 
B1GQ,CP_EUR_HAB,FI	36750 	37130 	37570 	37880 	38570 	39580 	41080 	42320 	43440 	43040 	45280 	48340 
B1GQ,CP_EUR_HAB,FR	31510 	31820 	32080 	32420 	33020 	33430 	34230 	35040 	35980 	34080 	36670 p	38550 p
B1GQ,CP_EUR_HAB,HR	10640 	10450 	10440 	10380 	10760 	11350 	12100 	12890 	13680 	12470 	14730 p	17130 e
B1GQ,CP_EUR_HAB,HU	10240 	10110 	10330 	10770 	11460 	11850 	12980 	13920 	15000 	14140 	15870 p	17580 p
B1GQ,CP_EUR_HAB,IE	37530 	38110 	38810 	42010 	56120 	56800 	62160 	67370 	72320 	75350 	86490 	98990 
B1GQ,CP_EUR_HAB,IS	34280 	35800 	37470 	41150 	47750 	56070 	63830 	63050 	61130 	51550 	58110 	69870 
B1GQ,CP_EUR_HAB,IT	27470 	26990 	26740 	26980 	27480 	28210 	28940 	29580 	30080 	27950 	30820 	33020 
B1GQ,CP_EUR_HAB,LI	: 	: 	128380 	133180 	148440 	147270 	148690 	146100 	146830 	142470 p	: 	: 
B1GQ,CP_EUR_HAB,LT	10340 	11180 	11850 	12480 	12860 	13560 	14950 	16250 	17510 	17830 	19990 	23580 
B1GQ,CP_EUR_HAB,LU	85330 	87540 	90030 	92760 	95090 	96230 	97440 	98750 	100450 	102240 	112880 	118320 
B1GQ,CP_EUR_HAB,LV	9550 	10870 	11320 	11850 	12430 	12950 	13900 	15130 	16040 	15920 	17850 	20710 
B1GQ,CP_EUR_HAB,ME	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 	7960 	6740 	8000 	9600 
B1GQ,CP_EUR_HAB,MK	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	4840 e	5170 e	5420 e	5240 e	: 	: 
B1GQ,CP_EUR_HAB,MT	16630 	17530 	18650 	20120 	22450 	23130 	25480 	26880 	28300 	25890 	29480 	32430 
B1GQ,CP_EUR_HAB,NL	38960 	38970 	39300 	39820 	40730 	41590 	43090 	44920 	46880 	45670 	49650 p	54150 p
B1GQ,CP_EUR_HAB,NO	72790 	79510 	77920 	73670 	67390 	64060 	67520 	70150 	68270 	60020 	76630 	101050 
B1GQ,CP_EUR_HAB,PL	9790 	10000 	10090 	10560 	11180 	11050 	12120 	12990 	13870 	13720 	15100 	17370 b
B1GQ,CP_EUR_HAB,PT	16680 	16010 	16300 	16640 	17350 	18060 	19020 	19950 	20840 	19470 	20990 	23530 p
B1GQ,CP_EUR_HAB,RO	6880 	6950 	7150 	7560 	8090 	8500 	9510 	10580 	11560 	11440 	12610 p	15010 p
B1GQ,CP_EUR_HAB,RS	4900 	4680 	5080 	4970 	5040 	5210 	5590 	6140 	6620 	6790 	7800 	8920 p
B1GQ,CP_EUR_HAB,SE	43690 	45170 	46020 	45260 	46480 	46990 	47730 	46260 	46390 	46420 	51910 	53640 
B1GQ,CP_EUR_HAB,SI	18050 	17630 	17700 	18250 	18830 	19590 	20820 	22140 	23260 	22370 	24800 	27040 
