airpol,unit,src_crf,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
CH4,PC,CRF3,AT	63.0 	64.3 	65.1 	66.5 	68.4 	69.4 	70.5 	71.2 	72.6 	73.2 	73.9 	74.1 
CH4,PC,CRF3,BE	64.8 	66.2 	67.0 	67.8 	69.4 	70.2 	70.9 	71.0 	71.9 	72.3 	73.4 	73.5 
CH4,PC,CRF3,BG	29.6 	28.5 	28.7 	29.9 	30.6 	30.1 	30.6 	30.8 	31.7 	32.2 	33.9 	34.1 
CH4,PC,CRF3,CH	79.7 	80.5 	81.0 	81.3 	82.0 	82.2 	82.2 	82.4 	82.7 	82.8 	83.1 	83.2 
CH4,PC,CRF3,CY	39.9 	39.4 	37.8 	35.9 	35.0 	34.8 	36.0 	36.3 	36.4 	36.6 	38.5 	39.8 
CH4,PC,CRF3,CZ	24.3 	23.8 	23.8 	24.6 	24.9 	25.7 	26.7 	27.3 	28.3 	29.0 	30.7 	30.4 
CH4,PC,CRF3,DE	60.1 	61.3 	61.3 	63.4 	65.9 	66.5 	68.2 	68.9 	70.8 	74.3 	75.3 	75.6 
CH4,PC,CRF3,DK	81.3 	82.3 	83.6 	84.1 	84.7 	84.9 	84.5 	84.5 	84.5 	84.2 	84.8 	83.9 
CH4,PC,CRF3,EE	56.2 	58.7 	60.8 	64.3 	66.9 	66.7 	67.2 	68.3 	69.4 	70.1 	70.9 	70.3 
CH4,PC,CRF3,EL	45.1 	45.3 	45.5 	45.7 	44.9 	44.8 	45.6 	44.1 	43.8 	44.3 	45.1 	43.7 
CH4,PC,CRF3,ES	57.4 	56.6 	56.0 	56.2 	59.0 	58.4 	59.7 	60.4 	60.3 	61.5 	62.5 	62.7 
CH4,PC,CRF3,EU27_2020	51.1 	51.9 	52.1 	53.0 	54.4 	54.8 	55.6 	55.8 	56.2 	57.1 	57.8 	57.7 
CH4,PC,CRF3,FI	48.0 	48.9 	49.0 	50.5 	52.4 	53.5 	54.6 	55.6 	55.9 	56.4 	57.5 	57.7 
CH4,PC,CRF3,FR	64.3 	65.8 	65.7 	67.3 	69.3 	70.2 	69.9 	69.8 	70.0 	68.8 	69.1 	69.2 
CH4,PC,CRF3,HR	42.6 	42.0 	42.4 	41.6 	41.6 	40.2 	39.9 	39.5 	38.5 	38.8 	37.8 	38.6 
CH4,PC,CRF3,HU	27.2 	27.4 	28.0 	28.9 	30.5 	31.3 	32.2 	32.0 	32.9 	33.2 	33.6 	34.1 
CH4,PC,CRF3,IE	94.8 	94.2 	95.1 	94.0 	92.7 	92.4 	92.5 	93.0 	93.2 	93.3 	93.4 	93.8 
