animals,month,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A2000,M12,THS_HD,AL	: 	: 	: 	499.69 	505.77 e	496.99 p	475.22 	467.32 	415.61 	362.58 	336.78 	297.66 
A2000,M12,THS_HD,AT	1976.53 	1955.62 	1958.28 	1961.20 	1957.61 	1954.39 	1943.48 	1912.81 	1879.52 	1855.43 	1870.10 	1861.07 
A2000,M12,THS_HD,BA	455.00 e	446.00 e	447.00 e	444.00 e	455.00 e	455.00 e	445.00 e	438.00 	430.00 e	427.00 e	339.51 	339.15 
A2000,M12,THS_HD,BE	2471.60 	2438.18 	2441.32 	2477.24 	2503.26 	2501.35 	2385.99 	2398.09 	2373.10 	2335.44 	2310.44 	2286.11 
A2000,M12,THS_HD,BG	567.53 	535.32 	585.55 	562.36 	561.04 	570.14 	552.92 p	542.12 	527.19 	588.91 	611.20 	579.86 
A2000,M12,THS_HD,CH	: 	: 	: 	: 	1567.14 	1560.09 	1560.73 	1540.24 	1528.92 	1518.16 	1529.76 	1536.19 
A2000,M12,THS_HD,CY	56.92 	56.92 	57.08 	59.54 	58.86 	63.14 	67.03 	70.82 	73.97 	83.03 	84.61 	81.44 
A2000,M12,THS_HD,CZ	1339.48 	1321.06 	1332.08 	1373.07 	1366.33 	1339.60 	1366.36 	1365.24 	1367.05 	1340.04 	1359.42 	1390.49 
A2000,M12,THS_HD,DE	12527.84 	12506.77 	12685.99 	12742.19 	12635.46 	12466.59 	12281.20 	11949.09 	11639.53 	11301.86 	11039.66 	10996.96 
A2000,M12,THS_HD,DK	1612.00 	1607.00 	1583.00 	1553.00 	1566.00 	1554.00 	1558.00 	1530.00 	1500.00 	1500.00 	1480.00 	1466.00 
A2000,M12,THS_HD,EE	238.30 	246.00 	261.40 	264.70 	256.20 	248.20 	250.90 	251.90 	254.00 	253.30 	250.80 	249.62 
A2000,M12,THS_HD,EL	681.00 	685.00 	653.00 	659.00 	582.00 	554.00 	556.00 	542.00 	530.00 	631.50 	614.10 	581.60 
A2000,M12,THS_HD,ES	5923.11 	5812.61 	5802.22 	6078.73 	6182.91 	6317.64 	6465.75 	6510.59 	6600.33 	6636.43 p	6576.30 p	6455.13 
A2000,M12,THS_HD,EU27_2020	77379.22 	77547.95 	78019.23 	78690.25 	79302.79 	79697.54 	79009.94 	77840.10 	77161.16 	76551.10 	75705.30 p	74807.63 
A2000,M12,THS_HD,FI	902.68 	901.39 	903.36 	907.40 	903.41 	887.25 	874.52 	859.38 	840.74 	835.38 	829.98 	821.97 
A2000,M12,THS_HD,FR	19129.00 	19052.00 	19095.80 	19248.63 	19386.52 	19373.38 	18953.58 	18613.04 	18172.97 d	17815.67 d	17330.08 p	16986.19 
A2000,M12,THS_HD,HR	446.50 	452.00 	442.00 	441.00 	441.00 	444.00 	451.00 	414.00 b	420.00 	423.00 	428.00 	422.00 b
A2000,M12,THS_HD,HU	697.00 	760.00 	782.00 	802.00 	821.00 	852.00 	870.00 	885.00 	909.00 	932.90 b	909.90 	894.00 
A2000,M12,THS_HD,IE	5925.32 	6253.24 	6309.05 	6243.05 	6422.23 	6613.43 	6673.59 	6593.49 	6559.65 	6529.44 	6649.31 	6551.83 
A2000,M12,THS_HD,IS	73.60 	72.80 	73.20 	73.70 	75.90 	79.90 	80.90 	81.40 	80.90 	81.40 	: 	79.93 
A2000,M12,THS_HD,IT	6251.93 	6251.93 	6249.29 	6125.42 	6155.81 	6314.89 	6349.81 	6311.16 	6377.23 	6400.04 	6280.28 	6049.00 b
A2000,M12,THS_HD,LT	752.40 	729.20 	713.50 	736.60 	722.60 	694.80 	676.90 	653.50 	634.60 	629.50 	628.70 	641.92 
A2000,M12,THS_HD,LU	188.09 	188.30 	198.24 	201.15 	200.64 	202.41 	198.07 	194.39 	192.10 	190.69 	187.20 	186.13 
A2000,M12,THS_HD,LV	380.61 	393.10 	406.49 	422.02 	419.08 	412.31 	405.82 	395.33 	395.32 	398.99 	393.47 	391.35 
A2000,M12,THS_HD,ME	: 	85.00 	89.00 	94.00 	92.00 	89.00 p	87.00 p	83.30 p	81.40 p	77.89 p	71.17 p	415.61 e
A2000,M12,THS_HD,MK	: 	251.00 	238.00 	242.00 	253.00 	255.00 	255.00 	256.00 	219.00 	222.00 	178.00 	165.00 
A2000,M12,THS_HD,MT	15.07 	15.59 	15.22 	14.88 	15.02 	14.36 	14.18 	14.12 	14.00 	14.29 	14.02 	14.20 
A2000,M12,THS_HD,NL	3912.00 	3985.00 	4090.00 	4169.00 	4315.00 	4294.00 	4030.00 	3690.00 	3721.00 	3691.00 	3705.00 	3751.00 
A2000,M12,THS_HD,PL	5500.94 	5520.35 	5589.54 	5660.27 	5762.50 	5970.20 	6035.70 	6183.30 	6261.60 	6278.90 	6378.70 	6448.29 
A2000,M12,THS_HD,PT	1519.11 	1497.55 	1470.50 	1548.61 	1605.86 	1635.01 	1670.02 	1632.42 	1674.97 	1691.32 	1640.65 p	1579.14 
A2000,M12,THS_HD,RO	1988.90 	2009.10 	2022.40 	2068.90 	2092.40 	2049.70 	2011.10 	1977.20 	1923.30 	1875.20 	1826.80 	1833.70 
A2000,M12,THS_HD,RS	937.00 	921.00 e	913.00 	920.00 	916.00 	893.00 	899.00 	878.00 	898.00 	886.00 	860.00 	799.84 
A2000,M12,THS_HD,SE	1449.73 	1443.58 	1443.52 	1436.49 	1428.40 	1436.05 	1448.59 	1435.45 	1404.67 	1390.96 	1389.89 	1390.55 
A2000,M12,THS_HD,SI	462.30 	460.06 	460.58 	468.25 	484.19 	488.60 	479.61 	476.81 	483.07 	485.61 	482.62 	464.91 
A2000,M12,THS_HD,SK	463.36 	471.08 	467.82 	465.54 	457.46 	446.11 	439.83 	438.86 	432.25 	442.29 	434.09 	433.18 
A2000,M12,THS_HD,TR	: 	14022.35 	14532.85 	14244.67 	14127.84 	14222.23 p	16105.03 p	17220.90 p	17872.33 	18157.97 	18036.12 	17023.79 
A2000,M12,THS_HD,UK	9675.00 	9749.00 	9682.00 	9693.00 	9816.00 	9806.00 	9787.00 	9610.00 	9459.00 	: 	: 	: 
A2000,M12,THS_HD,XK	: 	: 	: 	261.69 	258.50 	264.97 	259.73 	259.73 	257.73 	261.39 	260.53 	250.90 
