animals,month,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A2300F,M12,THS_HD,AL	: 	: 	: 	357.78 	357.52 	353.05 	346.41 	339.94 	313.89 	287.17 	275.58 	260.96 
A2300F,M12,THS_HD,AT	527.39 	523.37 	529.56 	537.74 	534.10 	539.87 	543.42 	532.87 	524.07 	524.78 	526.46 	550.55 
A2300F,M12,THS_HD,BA	231.00 e	217.00 e	222.00 e	216.00 e	217.00 e	215.00 e	206.00 e	200.00 e	193.00 e	191.00 e	147.44 	148.52 
A2300F,M12,THS_HD,BE	510.65 	503.54 	515.99 	519.09 	528.78 	530.59 	519.16 	529.25 	537.96 	537.94 	537.25 	543.68 
A2300F,M12,THS_HD,BG	313.18 	294.49 	313.25 	301.71 	282.96 	278.92 	260.78 	244.36 	226.69 	241.94 	230.34 	212.84 
A2300F,M12,THS_HD,CH	: 	: 	: 	: 	579.88 	572.34 	567.38 	557.36 	551.76 	541.75 	540.72 	533.03 
A2300F,M12,THS_HD,CY	24.07 	24.20 	24.55 	25.33 	26.19 	28.46 	30.16 	31.88 	35.02 	39.49 	38.92 	38.22 
A2300F,M12,THS_HD,CZ	374.07 	367.07 	375.33 	372.39 	369.06 	367.31 	365.46 	358.60 	361.43 	357.01 	362.35 	356.65 
A2300F,M12,THS_HD,DE	4190.10 	4190.49 	4267.61 	4295.68 	4284.64 	4217.70 	4199.01 	4100.86 	4011.67 	3921.41 	3832.72 	3809.72 
A2300F,M12,THS_HD,DK	579.00 	579.00 	567.00 	547.00 	570.00 	565.00 	575.00 	570.00 	563.00 	565.00 	559.00 	556.00 
A2300F,M12,THS_HD,EE	96.20 	96.80 	97.90 	95.60 	90.60 	86.10 	86.40 	85.20 	85.00 	84.30 	83.70 	83.74 
A2300F,M12,THS_HD,EL	130.00 	132.00 	130.00 	135.00 	111.00 	106.00 	97.00 	95.00 	86.00 	90.00 	91.30 	80.50 
A2300F,M12,THS_HD,ES	797.89 	827.21 	844.06 	844.79 	844.11 	834.45 	823.39 	816.69 	812.87 	810.74 p	808.86 p	809.99 
A2300F,M12,THS_HD,EU27_2020	21252.72 	21406.94 	21652.41 	21637.82 	21651.74 	21633.77 	21409.14 	21029.46 	20765.52 	20522.06 	20212.53 p	20073.77 
A2300F,M12,THS_HD,FI	281.53 	279.87 	282.01 	282.91 	282.23 	275.38 	270.64 	263.64 	258.94 	255.62 	248.53 	243.17 
A2300F,M12,THS_HD,FR	3664.00 	3644.00 	3698.45 	3661.18 	3637.02 	3637.02 	3596.84 	3554.23 	3490.81 d	3405.68 d	3322.03 p	3230.86 
A2300F,M12,THS_HD,HR	184.70 	181.00 	168.00 	159.00 	152.00 	147.00 	139.00 	136.00 b	130.00 	110.00 	102.00 	79.00 b
A2300F,M12,THS_HD,HU	252.00 	255.00 	250.00 	255.00 	250.00 	244.00 	244.00 	239.00 	243.00 	246.60 b	280.90 	277.90 
A2300F,M12,THS_HD,IE	1035.64 	1060.26 	1082.46 	1127.72 	1239.89 	1295.23 	1343.30 	1369.10 	1425.76 	1456.05 	1505.27 	1510.31 
A2300F,M12,THS_HD,IS	25.40 	25.40 	25.80 	26.00 	27.00 	26.30 	26.70 	26.40 	26.20 	26.40 	: 	25.81 
A2300F,M12,THS_HD,IT	1754.98 	2009.07 	2074.54 	2069.39 	2056.81 	2060.47 	2040.11 	1939.48 	1875.72 	1871.27 	1844.37 	1865.00 b
A2300F,M12,THS_HD,LT	349.50 	331.00 	315.70 	314.00 	300.50 	285.80 	272.80 	256.20 	240.90 	232.90 	225.20 	224.18 
A2300F,M12,THS_HD,LU	44.48 	45.00 	48.27 	46.78 	49.13 	51.97 	52.12 	53.00 	54.15 	54.23 	54.57 	55.33 
A2300F,M12,THS_HD,LV	164.10 	164.56 	165.01 	165.87 	162.41 	154.02 	150.36 	144.47 	138.41 	136.04 	131.20 	127.76 
A2300F,M12,THS_HD,ME	: 	59.00 	61.00 	63.00 	63.00 	59.60 p	60.40 p	59.50 p	57.20 p	54.17 p	49.17 p	: 
A2300F,M12,THS_HD,MK	: 	123.00 	129.00 	127.00 	124.00 	125.00 	123.00 	129.00 	111.00 	108.00 	98.00 	100.00 
A2300F,M12,THS_HD,MT	6.31 	6.32 	6.33 	6.50 	6.37 	6.50 	6.14 	6.23 	6.12 	6.06 	5.87 	6.12 
