crops,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
C0000,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,T,BE	: 	65415 	54492 	46441 	46188 	43500 	32001 	: 	: 	: 	: 
C0000,T,BG	27229 	30458 	41385 	48219 	36904 	16152 	5943 	5619 	7671 	3548 	: 
C0000,T,CY	: 	566 	579 	643 	513 	718 	183 	596 	234 	1656 	: 
C0000,T,CZ	: 	112347 	98569 	88216 	77018 	70209 	64898 	65846 	63888 	62210 	58975 
C0000,T,EE	101407 	70984 	98798 	101267 	54974 	60147 	45867 	47858 	37271 	32720 	40224 
C0000,T,EL	: 	: 	152118 	145750 	98433 	113773 	113685 	97565 	101051 	66130 	: 
C0000,T,ES	: 	336485 	382153 	332504 	303064 	206309 	163834 	179616 	177670 	181875 	160721 
C0000,T,FI	: 	116200 	159100 	129000 	76200 	90800 	74600 	82900 	78200 	75700 	65620 
C0000,T,FR	: 	1068579 e	692243 e	742480 	: 	: 	: 	: 	: 	: 	: 
C0000,T,HR	: 	63441 	56881 	64138 	52882 	45292 	47524 	31066 	15375 	13564 	: 
C0000,T,HU	: 	99523 e	100048 	101473 	86755 	69616 	64297 	57625 	66737 	66888 	54338 
C0000,T,IE	: 	9501 e	6685 	5907 	4426 	4023 	4368 	5111 	: 	: 	: 
C0000,T,IT	: 	: 	: 	: 	: 	988737 	800385 	519897 	443008 	: 	863298 
C0000,T,LT	: 	186430 	292362 	249596 	154506 	172934 	121986 	123320 	101408 	99566 	93550 
C0000,T,LU	: 	2952 	3432 	3208 	3340 	3050 	1943 	2788 	2294 	2429 	2116 
C0000,T,LV	: 	90665 	113593 	105801 	: 	68115 	58074 	56986 	51371 	46331 	47255 
C0000,T,ME	51 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,T,MK	: 	2662 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,T,MT	: 	6 	4 	4 	2 	2 	0 	5 	0 	: 	: 
C0000,T,NL	: 	19887 	19591 	16853 	16253 	12746 	16198 e	20157 	: 	: 	: 
C0000,T,PL	: 	296367 	315269 	271901 	195921 	175963 	151311 	135237 	131863 	117501 	102455 
C0000,T,RO	: 	403904 	229794 	313039 	240534 	198044 	192439 	254867 	290081 	153989 	: 
C0000,T,RS	: 	: 	23587 	115214 	22404 	19914 	8373 	17582 	20683 	16441 	: 
C0000,T,SE	: 	310100 	421200 	403300 	198500 	323200 	280000 	271200 	253000 	235600 	194000 
C0000,T,SI	: 	: 	5622 	5488 	5492 	4849 	4725 	3386 	3929 	2943 	2862 
C0000,T,SK	: 	60687 e	66848 	54347 	56976 	44963 	48558 	41791 	40478 	43871 	: 
C0000,T,TR	: 	280061 	263071 	287448 	337150 	297376 	363513 	328632 	274647 	229327 	: 
C0000,T,UK	: 	: 	: 	129297 	124540 	104348 	136394 	131483 	129671 	146578 	: 
C1000,T,BE	: 	: 	54492 	46441 	46188 	43500 	32001 	: 	: 	: 	: 
C1000,T,BG	: 	: 	40061 	48079 	36904 	16152 	5943 	5619 	7671 	3548 	: 
C1000,T,CY	: 	: 	579 	643 	513 	718 	183 	596 	234 	1656 	: 
C1000,T,CZ	: 	: 	98569 	88216 	77018 	70209 	64898 	65846 	63888 	62210 	58975 
C1000,T,EE	: 	: 	98798 	101267 	54974 	60147 	45867 	47858 	37271 	32720 	: 
C1000,T,EL	: 	: 	144986 	136593 	90677 	108681 	109014 	95591 	98720 	65602 	: 
C1000,T,ES	: 	: 	375562 	326759 	298741 	200316 	158801 	177814 	174372 	180013 	159214 
C1000,T,FI	: 	: 	159100 	129000 	76200 	90800 	74600 	82900 	78200 	75700 	65620 
