animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A1100,HD,AT	: 	: 	18955 	18678 	17752 	17273 	18161 	15697 	: 	: 	: 
A1100,HD,BE	: 	: 	1606 	1577 	1486 	1556 	1382 	1362 	1239 	: 	: 
A1100,HD,BG	: 	: 	242 	262 	232 	501 	307 	212 	0 	: 	9 
A1100,HD,CH	: 	: 	11318 	11200 	10577 	9683 	9040 	8758 	8638 	8104 	7879 
A1100,HD,CY	: 	: 	0 	0 	0 	: 	: 	0 	0 	: 	0 
A1100,HD,CZ	: 	: 	9923 	9727 	9339 	8741 	7297 	7250 	7253 	6191 	5835 
A1100,HD,DE	: 	: 	41862 	: 	: 	: 	: 	: 	: 	32 	: 
A1100,HD,DK	: 	: 	434 	162 	158 	182 	120 	89 	125 	145 	238 
A1100,HD,EE	: 	: 	1436 	1612 	1711 	1795 	1735 	1471 	1837 	1958 	1806 
A1100,HD,ES	: 	: 	7664 	7267 	6573 	6187 	6644 	5540 	4153 	2662 	2689 
A1100,HD,FI	: 	: 	37 d	8 d	8 	: 	: 	23 	18 	19 	69 
A1100,HD,FR	: 	: 	4309 e	4439 e	4233 	3524 	2871 	5783 	2268 	3939 	2131 
A1100,HD,HR	: 	: 	2551 	2234 	2088 	1721 	1753 	265 	291 	874 	507 
A1100,HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	178 
A1100,HD,IE	: 	: 	565 	736 	: 	426 	: 	77 	: 	138 	542 
A1100,HD,IS	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A1100,HD,IT	: 	: 	: 	: 	: 	: 	: 	14349 	12970 	13404 	9663 
A1100,HD,LT	: 	: 	414 	432 	412 	422 	67 	351 	545 	496 	443 
A1100,HD,LU	: 	: 	159 	174 	163 	133 	124 	115 	122 	177 	162 
A1100,HD,LV	: 	: 	900 	1173 	1142 	1259 	1263 	1015 	1111 	882 	934 
A1100,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A1100,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A1100,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A1100,HD,NO	: 	: 	29 	37 	35 	38 	41 	41 	47 	49 	57 
A1100,HD,PL	: 	: 	: 	1957 	474 	604 	578 	632 	841 	1380 	: 
A1100,HD,PT	: 	: 	76 	128 	87 	157 	: 	204 	162 	176 	: 
A1100,HD,RO	: 	: 	72 	69 	: 	202 	: 	485 	626 	200 	142 
A1100,HD,RS	: 	: 	16 	88 	114 	177 	8 	106 	103 	60 	: 
A1100,HD,SI	: 	: 	: 	: 	: 	: 	4093 	3878 	3846 	3593 	3289 
A1100,HD,SK	: 	: 	412 	440 	541 	869 	590 	643 	569 	659 	611 
A1100,HD,TR	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 
A1100,HD,UK	: 	: 	: 	1054 	974 	251 	171 	172 	103 	507 	348 
A2000,HD,AT	428676 	420118 	417658 	420693 	421324 	422008 	404648 	266236 	376647 	376973 	376572 
A2000,HD,BE	: 	115618 	111951 	107690 	106049 	108016 	88787 	80405 	76620 	76214 	72487 
A2000,HD,BG	8555 	10408 	10343 	9402 	9314 	10400 	9718 	4209 	1344 	1311 	1173 
A2000,HD,CH	219304 	213595 	211041 	205389 	200450 	187745 	175520 	170420 	167024 	162059 	156668 
A2000,HD,CY	: 	837 	601 	731 	469 	506 	350 	101 	0 	0 	0 
A2000,HD,CZ	: 	278346 	268831 	262910 	262061 	255978 	246684 	237635 	224873 	213303 	196911 
A2000,HD,DE	965909 e	896760 e	861272 	870372 	771320 	788561 	700356 	654386 	643600 	621800 	583843 
A2000,HD,DK	: 	231472 	227336 	224348 	220754 	199870 	164397 	157527 	182131 	181508 	183262 
A2000,HD,EE	44275 	44694 	45713 	42290 	41499 	40049 	36774 	34312 	32149 	30017 	27056 
A2000,HD,EL	: 	193596 	163066 	142609 	138015 	81425 	75132 	68454 	70346 	71034 	66846 
A2000,HD,ES	: 	264259 	219769 	215802 	212066 	207121 	199737 	190224 	168214 	151571 	164736 
A2000,HD,EU	: 	: 	: 	4817726 p	4605744 	4310740 	3997266 	3636091 	3630538 	3552014 	: 
A2000,HD,EU27_2020	: 	: 	: 	4516938 p	4281542 	4014568 	3700694 	3342953 	3326183 	3268678 	: 
A2000,HD,EU28	: 	: 	: 	4817726 p	4605744 	4310740 	3997266 	3636091 	3630538 	3552014 	: 
A2000,HD,FI	: 	84740 	81360 	76173 	72082 	68197 	61942 	59700 	52395 	49101 	48313 
A2000,HD,FR	: 	925800 e	860308 e	830921 e	751382 	649856 	573623 	541312 	541129 	550121 	445245 
A2000,HD,HR	: 	31076 	22302 	21551 	19613 	17226 	14442 	7002 	7308 	6540 	: 
A2000,HD,HU	: 	27810 	26087 	27007 	18964 	17741 	20815 	18919 	18871 	19273 	19947 
A2000,HD,IE	: 	59291 	58659 	64093 	61819 	56873 	52742 	46946 	38923 	37473 	35093 
A2000,HD,IS	: 	369 	224 	284 	236 	249 	: 	: 	: 	: 	: 
A2000,HD,IT	: 	409332 	397187 	389665 p	375414 	336278 	331431 	266576 	222924 	231641 	203823 
A2000,HD,LT	: 	59151 	58737 	58356 	57884 	57270 	37814 	34929 	35279 	34163 	26824 
A2000,HD,LU	: 	4945 	5111 	4814 	4956 	4177 	3873 	3576 	3459 	3373 	3090 
A2000,HD,LV	: 	102422 	101968 	99041 	96423 	95585 	92546 	80400 	76048 	71707 	64032 
A2000,HD,ME	431 	445 	393 	578 	420 	218 	20 	: 	: 	: 	: 
A2000,HD,MK	: 	9752 	8723 	7170 	6390 	4698 	3368 	4401 	2133 	2726 	: 
A2000,HD,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A2000,HD,NL	: 	79300 	76069 	71817 	71715 	65189 	60150 	56264 	53603 	53704 	51380 
A2000,HD,NO	: 	28332 	28639 	28361 	30307 	29931 	29329 	28516 	27385 	28875 	29511 
A2000,HD,PL	: 	31195 	31102 	30186 	26953 	27901 	29107 	31896 	38744 	44663 	45604 
A2000,HD,PT	: 	95650 	92673 	95306 	93191 	86881 	80152 	97320 	74343 	69095 	68004 
A2000,HD,RO	: 	23339 	19870 	19358 	16872 	19339 	20093 	29313 	33782 	20113 	: 
A2000,HD,RS	: 	: 	3627 	3556 	3594 	2474 	2560 	2593 	2557 	1853 	: 
A2000,HD,SE	: 	329851 	331735 	333245 	332294 	307120 	296260 	285774 	281320 	285670 	282026 
A2000,HD,SI	: 	38836 	37904 	37126 	35751 	35095 	33397 	30592 	27359 	25168 	22977 
A2000,HD,SK	: 	59636 e	61977 	61432 	63340 	55906 	65724 	58945 	44772 	43142 	43293 
A2000,HD,TR	: 	8109 	7888 	4751 	5113 	6632 	7234 	8234 	9746 	47715 	: 
A2000,HD,UK	: 	: 	: 	300788 	324202 	296172 	296572 	293138 	304355 	283336 	290212 
A2000B,HD,AT	: 	: 	22041 	22085 	21071 	20524 	32988 	25773 	4397 	: 	: 
