years,location,manufacturing_employment,total_exports,number_of_plants,consumer_price_index,per_capita_personal_income,working_age_population,manufacturing_business_cycle_index,total_company_asset
2013,Busan,302000,12402679264 ,9538 ,92.852 ,15651 ,2580 ,82.833 ,31456560 
2013,Daegu,257000,6310024720 ,7263 ,92.442 ,15320 ,1840 ,82.917 ,15541474 
2013,Gwangju,105000,5096251437 ,3594 ,93.540 ,15454 ,1107 ,73.083 ,5787174 
2013,Daejeon,74000,3894752341 ,2348 ,94.592 ,16253 ,1154 ,74.833 ,17496232 
2013,Ulsan,196000,42231493106 ,2366 ,94.688 ,19782 ,867 ,81.750 ,60387823 
2013,Gangwondo,49000,1283546703 ,3160 ,93.697 ,14394 ,1052 ,73.000 ,3549278 
2013,Chungcheongbukdo,162000,6593488496 ,6601 ,94.104 ,14707 ,1114 ,81.167 ,18448189 
2013,Chungcheongnamdo,257000,19892351099 ,7816 ,94.867 ,14892 ,1438 ,80.917 ,50897301 
2013,Jeonlabukdo,132000,3932540340 ,5165 ,94.173 ,14628 ,1248 ,74.167 ,9149447 
2013,Jeonlanamdo,88000,7286600008 ,5532 ,93.687 ,14575 ,1167 ,68.583 ,14308121 
2013,Gyeongsangbukdo,275000,16744667651 ,12076 ,94.798 ,15052 ,1855 ,68.500 ,30401775 
2013,Gyeongsangnamdo,438000,44527342950 ,16324 ,93.723 ,15646 ,2351 ,74.917 ,73974208 
2013,Jeju,14000,152004093 ,681 ,92.519 ,14829 ,396 ,73.750 ,85638 
2014,Busan,290000,13840386377 ,10069 ,94.019 ,16147 ,2565 ,80.167 ,33390858 
2014,Daegu,247000,6656026086 ,7457 ,93.769 ,16031 ,1836 ,73.417 ,18055834 
2014,Gwangju,110000,5164869397 ,3795 ,95.041 ,16225 ,1109 ,70.917 ,10136118 
2014,Daejeon,81000,4051752198 ,2400 ,95.459 ,16946 ,1160 ,69.583 ,18883096 
2014,Ulsan,212000,42785363047 ,2457 ,95.812 ,20142 ,878 ,74.667 ,61223294 
2014,Gangwondo,52000,1220295176 ,3316 ,94.334 ,15152 ,1058 ,73.750 ,4765700 
2014,Chungcheongbukdo,166000,6821173440 ,6934 ,95.220 ,15558 ,1127 ,76.833 ,23711988 
2014,Chungcheongnamdo,257000,21481342363 ,8223 ,95.309 ,15509 ,1460 ,77.917 ,52792757 
2014,Jeonlabukdo,126000,4736794438 ,5382 ,95.233 ,15548 ,1258 ,70.833 ,11499650 
2014,Jeonlanamdo,95000,6595703301 ,5724 ,94.627 ,15039 ,1179 ,70.750 ,17345305 
2014,Gyeongsangbukdo,298000,18485047500 ,12582 ,95.758 ,15738 ,1863 ,70.833 ,89655567 
2014,Gyeongsangnamdo,448000,43573727846 ,16982 ,94.997 ,16272 ,2375 ,64.417 ,84321466 
2014,Jeju,14000,133303747 ,664 ,93.550 ,15329 ,406 ,77.250 ,114268 
2015,Busan,311000,13763710584 ,10693 ,94.807 ,17044 ,2550 ,79.583 ,34624673 
2015,Daegu,243000,6011480318 ,7748 ,94.464 ,17226 ,1829 ,66.667 ,18016466 
2015,Gwangju,111000,5246898015 ,4156 ,95.306 ,17459 ,1111 ,68.417 ,10758411 
2015,Daejeon,79000,3834755027 ,2474 ,95.648 ,18229 ,1153 ,68.417 ,20228934 
2015,Ulsan,217000,37878760097 ,2619 ,96.251 ,21348 ,889 ,68.833 ,56849010 
2015,Gangwondo,52000,986664938 ,3522 ,94.369 ,16311 ,1068 ,77.917 ,5354908 
2015,Chungcheongbukdo,179000,6437746084 ,7369 ,95.073 ,16531 ,1140 ,70.250 ,24846788 
2015,Chungcheongnamdo,281000,19802743318 ,8731 ,95.515 ,16703 ,1474 ,73.583 ,56522208 
2015,Jeonlabukdo,125000,4150574022 ,5761 ,95.205 ,16239 ,1264 ,63.667 ,12008008 
2015,Jeonlanamdo,114000,6587197548 ,5973 ,94.595 ,16067 ,1187 ,72.250 ,17298398 
2015,Gyeongsangbukdo,292000,16359715505 ,13180 ,95.795 ,16550 ,1871 ,61.333 ,86732791 
2015,Gyeongsangnamdo,453000,40589497654 ,17865 ,95.521 ,17411 ,2396 ,58.333 ,86128066 
2015,Jeju,14000,134698472 ,679 ,94.149 ,16685 ,420 ,81.083 ,142084 
2016,Busan,301000,13822250869 ,10962 ,95.929 ,17525 ,2531 ,69.917 ,33874647 
2016,Daegu,251000,5780433840 ,8018 ,95.412 ,17848 ,1820 ,67.167 ,17918058 
2016,Gwangju,103000,5116010214 ,4250 ,96.180 ,18232 ,1107 ,73.500 ,5476173 
2016,Daejeon,84000,3769637113 ,2656 ,96.297 ,18741 ,1149 ,75.583 ,21731999 
2016,Ulsan,209000,33042714749 ,2711 ,97.205 ,21422 ,889 ,63.583 ,53630600 
2016,Gangwondo,54000,1000009617 ,3596 ,95.110 ,16798 ,1074 ,79.583 ,3792736 
2016,Chungcheongbukdo,180000,6802553002 ,7797 ,95.613 ,16915 ,1154 ,76.083 ,20873641 
2016,Chungcheongnamdo,291000,20532651191 ,9176 ,96.171 ,16952 ,1495 ,72.000 ,87027733 
2016,Jeonlabukdo,119000,2725547814 ,6014 ,95.718 ,16499 ,1265 ,61.083 ,8401445 
