idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Operatives,Union,11.739125,48,10.333334,5.3333335
2,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Craftsmen,Union,6.4009633,40,13.621795,5.25
3,42,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,5.0167227,40,17.73077,1.25
4,43,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.0338125,42,13.211537,1.75
6,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,8.0837307,48,17.820513,17.75
7,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,4.6296296,30,7.3269229,2.25
9,37,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Union,10.491142,40,19.04487,19
12,40,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,17.206116,45,15.557693,14.166667
13,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,13.083735,8,14.25,5.5
14,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.7455678,50,7.3846154,2.25
15,39,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,16.795479,16,15.769231,8.416667
16,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,15.48309,40,16.384615,13.833333
18,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Craftsmen,Nonunion,5.2334948,40,7.75,7.75
19,40,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,10.161026,40,14.211538,5.5833335
20,39,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,9.6618366,4,15.858974,4.6666665
22,41,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.057972,32,15.012821,3
23,42,White,Married,Has been married,15,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.0515299,45,15.346155,8.083333
24,41,White,Married,Has been married,14,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.095006,24,16.467947,3.4166667
25,42,White,Married,Has been married,14,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.581316,40,17.75,5.4166665
36,37,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Clerical/Unskilled,,4.1806021,40,15.935898,.91666669
39,44,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.790657,40,8.8397436,7.9166665
44,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Professional/Technical,Union,28.456659,35,16.205128,3.5
45,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,10.185181,38,17.25,17.25
46,44,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,3.0515289,25,5.5448718,2.9166667
