id	sex	face	humor	charact	iqscore	attract
1	M	6	5	4	3	5
2	F	4	3	5	5	4
3	M	5	6	3	6	6
4	M	6	4	4	3	5
5	F	3	5	2	5	2
6	F	5	5	6	4	6
7	M	6	5	4	3	7
8	M	3	3	3	5	4
9	F	5	5	3	4	6
10	F	5	5	3	4	6
11	M	6	4	4	3	5
12	F	4	5	6	5	4
13	M	5	6	4	6	6
14	M	6	4	4	3	5
15	F	3	3	1	5	2
16	F	5	5	7	4	6
17	M	6	7	4	3	7
18	M	3	3	5	5	4
19	F	5	5	3	4	6
20	F	5	5	3	4	6
21	M	6	5	4	3	5
22	F	4	4	5	5	4
23	M	5	6	3	6	6
24	M	6	4	4	3	5
25	F	3	5	2	5	2
26	F	5	5	6	4	6
27	M	6	5	4	3	7
28	M	3	4	3	5	4
29	F	5	6	5	4	6
30	F	5	5	4	4	6
31	M	6	4	4	3	5
32	F	4	5	6	5	4
33	M	5	6	4	6	6
34	M	6	5	4	3	5
35	F	3	3	1	5	2
36	F	5	5	7	4	6
37	M	6	5	4	3	7
38	M	3	3	5	5	4
39	F	5	6	3	4	6
40	F	5	5	3	4	6
41	M	6	5	4	3	5
42	F	4	3	5	5	4
43	M	5	6	3	6	6
44	M	6	4	4	3	5
45	F	3	4	2	5	2
46	F	5	5	6	4	6
47	M	6	5	4	3	7
48	M	3	3	3	5	4
49	F	5	5	3	4	6
50	F	5	5	3	4	6
