id	area	satis	motiv	envir	salary	stress
1	1	6	4	3	1750	4
2	3	7	4	2	2100	5
3	2	3	2	3	1524	1
4	3	6	4	5	2350	2
5	2	6	5	2	1980	3
6	1	3	3	3	1030	3
7	3	8	4	3	1620	4
8	2	4	2	1	1500	2
9	1	4	3	4	1500	1
10	3	7	1	4	1750	3
11	1	3	3	3	980	5
12	2	4	4	5	1750	1
13	2	6	3	3	1110	3
14	3	7	2	5	1440	4
15	3	6	4	3	1640	4
16	2	1	2	3	1160	3
17	3	8	5	5	1050	5
18	1	6	3	4	1540	2
19	3	5	2	2	2170	1
20	1	3	3	5	1360	2
21	2	6	5	5	1900	4
22	3	9	4	4	2550	5
23	2	6	3	4	1610	4
24	2	4	3	3	950	3
25	2	8	4	3	1160	2
26	3	2	2	4	1250	4
27	1	4	3	1	1640	3
28	3	3	2	2	1070	3
29	2	6	4	4	1430	4
30	1	3	1	3	920	3
31	2	3	3	2	830	2
32	1	6	5	4	1830	4
33	3	9	4	4	1760	5
34	1	1	2	3	1600	2
35	2	3	3	2	1200	3
36	1	8	4	5	1050	3
37	2	5	3	3	1130	2
38	3	5	3	4	940	4
39	3	6	4	2	2030	3
40	2	7	3	4	1670	2
41	3	6	2	4	1560	4
42	3	3	2	3	1690	2
43	1	5	5	4	1430	3
44	1	5	2	1	1720	3
45	3	8	4	5	2040	4
46	2	4	2	1	1430	5
47	1	4	2	4	1260	5
48	2	4	3	5	1530	3
49	1	9	4	4	1060	5
50	2	6	1	1	1470	4
51	1	9	5	4	1790	5
52	1	6	4	3	1680	3
53	3	9	5	4	1880	2
54	1	8	4	5	1240	4
55	3	6	3	5	1500	3
56	3	5	2	4	1710	2
57	2	7	4	5	1230	1
58	1	8	5	5	2000	4
59	3	8	3	4	1570	4
60	3	7	3	4	1900	3
61	2	6	4	1	1400	2
62	1	8	4	5	1650	4
63	2	3	2	2	1040	2
64	3	6	3	2	1860	5
65	3	8	4	4	1500	1
66	1	7	5	4	1400	3
67	1	1	2	5	1600	1
68	3	7	3	3	1250	3
69	1	7	4	3	1410	2
70	3	6	4	2	1590	4
71	2	2	3	3	1260	2
72	3	1	4	1	900	2
73	2	7	5	4	1850	4
74	1	3	2	3	1430	4
75	2	4	4	3	1080	3
76	3	7	4	1	1790	5
77	2	3	3	4	1920	2
78	1	7	3	1	1620	2
79	2	5	5	2	1720	4
80	2	4	3	3	1230	2
81	2	4	3	4	2150	3
82	1	4	2	3	1520	3
83	3	5	3	4	1640	1
84	2	4	4	2	1830	3
85	3	8	5	4	2320	2
86	1	4	4	2	1180	2
87	3	9	4	2	1390	5
88	3	7	5	4	1880	4
89	2	6	3	3	1470	3
90	1	1	3	3	1250	2
91	2	4	2	5	1290	4
92	2	5	3	4	1640	1
93	1	7	4	3	1100	2
94	2	5	3	3	1280	4
95	1	5	4	3	1560	2
96	1	5	4	2	1480	3
97	1	4	2	4	1150	3
98	2	6	1	3	1310	1
99	3	9	5	2	1770	4
100	2	5	2	5	1250	2
101	3	8	4	4	1950	4
102	1	9	3	3	1310	4
103	1	6	3	4	1750	3
104	2	7	1	4	1080	2
105	1	8	3	2	2160	2
106	3	2	2	3	940	5
107	1	6	4	2	2430	1
108	1	5	4	4	1860	4
109	1	4	5	5	1360	3
110	2	2	1	3	1870	2
111	3	6	3	4	1560	3
112	2	3	2	2	1460	5
113	3	4	3	4	1650	2
114	3	5	2	2	1750	3
115	2	2	4	3	1650	4
116	1	3	1	3	1330	5
117	1	3	1	4	1250	5
118	1	5	2	2	1680	3
119	2	4	3	4	1490	4
120	3	6	4	5	1710	2
