Day_sin,Day_cos,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,W1,W2,W3,W4,Temp,Humi,Wind_speed,D1_Day_sin,D1_Day_cos,D1_W1,D1_W2,D1_W3,D1_W4,D1_Temp,D1_Humi,D1_Wind_speed,D1_Solar,Solar
0.499999975,0.99999995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4,60,4.1,0,0,0,0,0,0,0,0,0,0,0.01
0.499999975,0.99999995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,64,4,0,0,0,0,0,0,0,0,0,0,0.08
0.499999975,0.99999995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.7,64,4.2,0,0,0,0,0,0,0,0,0,0,0.25
0.499999975,0.99999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.6,59,3.7,0,0,0,0,0,0,0,0,0,0,0.66
0.499999975,0.99999995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.7,64,2.5,0,0,0,0,0,0,0,0,0,0,1.16
0.499999975,0.99999995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.9,63,4,0,0,0,0,0,0,0,0,0,0,0.58
0.499999975,0.99999995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.9,64,4.1,0,0,0,0,0,0,0,0,0,0,0.4
0.499999975,0.99999995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,68,4.4,0,0,0,0,0,0,0,0,0,0,0.63
0.499999975,0.99999995,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.1,64,4.4,0,0,0,0,0,0,0,0,0,0,0.54
0.499999975,0.99999995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.9,60,4.7,0,0,0,0,0,0,0,0,0,0,0.36
0.499999975,0.99999995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.1,64,5,0,0,0,0,0,0,0,0,0,0,0.02
0.508726178,0.999923798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8,59,3.8,0.499999975,0.99999995,0,0,1,0,2.4,60,4.1,0.01,0
0.508726178,0.999923798,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7,60,4.4,0.499999975,0.99999995,0,0,1,0,2.5,64,4,0.08,0.05
0.508726178,0.999923798,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.6,58,3.7,0.499999975,0.99999995,0,0,1,0,2.7,64,4.2,0.25,0.22
0.508726178,0.999923798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.4,55,3.9,0.499999975,0.99999995,0,0,0,1,2.6,59,3.7,0.66,0.51
0.508726178,0.999923798,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.5,59,3.8,0.499999975,0.99999995,0,0,1,0,2.7,64,2.5,1.16,0.77
0.508726178,0.999923798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.3,63,5.8,0.499999975,0.99999995,0,0,0,1,2.9,63,4,0.58,0.42
0.508726178,0.999923798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.3,62,5.1,0.499999975,0.99999995,0,0,0,1,2.9,64,4.1,0.4,0.5
